arm,case_index,scenario,simulation_seed,controller_yaw_deg,has_raw_contact,force_rmse_n,peak_force_n,tangent_rmse_mm,contact_ratio_pct,saturation_pct,orientation_rmse_deg,measurement_rmse_n,seconds_over_35_n,first_raw_contact_time_s
surface_exact,3,surface_dev_03,29,-15.0,True,11.716068591565874,33.68591127179185,11.842338239134897,53.400000000000006,0.0,0.5225798311341736,12.219658999281217,0.0,0.546
surface_exact,4,surface_dev_04,11,-15.0,True,9.965973029313698,26.78949194980627,11.841533478357675,60.86666666666667,0.0,0.5225531004641526,10.396509520706234,0.0,0.544
surface_exact,5,surface_dev_05,29,-15.0,True,9.972172010391416,26.981698857658984,11.838475432714953,60.93333333333333,0.0,0.5227477506171543,10.395767154183414,0.0,0.546
surface_exact,6,surface_dev_06,11,-15.0,True,10.04455588437039,27.146448868170314,11.843628157345485,60.6,0.0,0.5225055845491501,10.469774126065664,0.0,0.544
surface_exact,7,surface_dev_07,29,-15.0,True,10.037664107634265,26.81687376183079,11.842746412543933,60.53333333333333,0.0,0.5227597407384004,10.462905103969849,0.0,0.546
surface_exact,8,surface_dev_08,11,0.0,True,11.83853319696042,32.29268033899436,11.771366271236149,52.800000000000004,0.0,0.41021949673490665,12.354135805668042,0.0,0.5740000000000001
surface_exact,9,surface_dev_09,29,0.0,True,11.822669140322876,32.34074138278787,11.766735222458541,52.800000000000004,0.0,0.4105927024007872,12.33882202783909,0.0,0.5740000000000001
surface_exact,10,surface_dev_10,11,0.0,True,11.921838699755298,32.32360841135715,11.77414011978834,52.46666666666666,0.0,0.41033081008754746,12.436723445989875,0.0,0.5740000000000001
surface_exact,11,surface_dev_11,29,0.0,True,11.912453260696454,32.33579894157944,11.769714103487576,52.400000000000006,0.0,0.41067327370170736,12.426993226214627,0.0,0.5740000000000001
surface_exact,12,surface_dev_12,11,0.0,True,10.13358051677812,25.863289856510402,11.771349928704952,60.0,0.0,0.410366393581942,10.571038536541998,0.0,0.5740000000000001
surface_exact,13,surface_dev_13,29,0.0,True,10.124337041260533,26.53225059797655,11.767357332808535,59.93333333333334,0.0,0.41077979690181804,10.564246866510427,0.0,0.5740000000000001
surface_exact,14,surface_dev_14,11,0.0,True,10.211992021729465,27.27775192711746,11.77413612432791,59.66666666666667,0.0,0.4105006823765623,10.648051271457273,0.0,0.5740000000000001
surface_exact,15,surface_dev_15,29,0.0,True,10.210098789283377,26.147381031463173,11.77036409337089,59.53333333333334,0.0,0.4107936307445165,10.645902915152263,0.0,0.5740000000000001
