arm,case_index,contact_in_both_arms,force_rmse_n,peak_force_n,tangent_rmse_mm,contact_ratio_pct,saturation_pct,orientation_rmse_deg,measurement_rmse_n,seconds_over_35_n,first_raw_contact_time_s
surface_minus5,23,True,-0.08614675924828141,-0.014673871669515393,-0.6875843081575059,-1.0,0.0,0.0016096522279053782,-0.04134432343390415,0.0,0.0
surface_plus5,0,True,-0.33494727567686056,0.20397910836565813,-1.2242733348187986,-0.93333333333333,0.0,0.009277290391700999,-0.2872470521874799,0.0,0.0
surface_plus5,1,True,-0.3269846036006978,-0.8358304854198124,-1.2233596204795134,-0.8000000000000043,0.0,0.009359591823831392,-0.2863154323929855,0.0,0.0020000000000000018
surface_plus5,2,True,-0.3333108311183661,-0.5720562202368562,-1.2236274832071015,-0.8666666666666742,0.0,0.009220913611681314,-0.28978508650036616,0.0,0.0
surface_plus5,3,True,-0.32625892505247656,0.5665374942900314,-1.2279328862009251,-0.8666666666666742,0.0,0.00919405335785739,-0.2833857466485892,0.0,0.0020000000000000018
surface_plus5,4,True,-0.30135364737136605,-0.7551729451117382,-1.2245142717021942,-0.7999999999999972,0.0,0.009183631520609303,-0.2583500062962454,0.0,0.0
surface_plus5,5,True,-0.30565547803590043,-0.023438490545022006,-1.2244697166628846,-0.93333333333333,0.0,0.00932427848851236,-0.2550133950257578,0.0,0.0020000000000000018
surface_plus5,6,True,-0.2941912945814149,0.167813232290019,-1.2306183540679534,-0.93333333333333,0.0,0.009261705471201975,-0.2492506089472677,0.0,0.0
surface_plus5,7,True,-0.30291489322618226,-0.15254542568623108,-1.2237735284905753,-0.86666666666666,0.0,0.009200534442202146,-0.2560148125707773,0.0,0.0020000000000000018
surface_plus5,8,True,0.08942743059653324,-1.2722696883249398,0.24191114349942922,0.06666666666665577,0.0,-0.002139174508374475,0.08415196308050277,0.0,0.0
surface_plus5,9,True,0.08214595588203366,-0.7181968629238149,0.24192045287451336,0.0,0.0,-0.0020950272311102136,0.07971865579391846,0.0,0.0
surface_plus5,10,True,0.07770136078696943,0.22813807308062195,0.24057862450281853,0.06666666666666998,0.0,-0.002082870259326741,0.07566262071991048,0.0,0.0
surface_plus5,11,True,0.0723555250739043,-0.04518235091362044,0.24035749882081525,0.06666666666665577,0.0,-0.002121208319852297,0.07149711929776359,0.0,0.0
surface_plus5,12,True,0.07263117008809772,1.1356382482530094,0.2425947942685518,0.06666666666666998,0.0,-0.0020685677374624456,0.07131854413578331,0.0,0.0
surface_plus5,13,True,0.07492278443260858,0.73008334596366,0.24204564609425816,0.13333333333333286,0.0,-0.002192384265449987,0.06729447976704428,0.0,0.0
surface_plus5,14,True,0.07605866127377858,-0.5822762485679291,0.24211014010491638,0.06666666666666998,0.0,-0.002174571742352527,0.0737277495232167,0.0,0.0
surface_plus5,15,True,0.05963353668957794,0.02418957061485827,0.2419407621625922,0.20000000000000284,0.0,-0.002093700127418663,0.05843951839352357,0.0,0.0
surface_plus5,16,True,0.03344617715979936,0.8525445540954557,-0.3949221835140655,-1.06666666666667,0.0,-0.0004013812800283678,0.08134724706314778,0.0,0.0020000000000000018
surface_plus5,17,True,0.04232311812837253,0.4173878478016917,-0.3933579961920888,-1.0666666666666629,0.0,-0.0004472068247672878,0.09001110537401047,0.0,0.0
surface_plus5,18,True,0.04957658936365128,1.5154749366040896,-0.39443149679760303,-1.13333333333334,0.0,-0.0005177573844418748,0.09758477776620111,0.0,0.0
