case,simulation_seed,wall_time_constant_s,wall_sliding_friction,wall_yaw_deg,position_noise_std_m,force_noise_std_n,force_bias_n,measurement_delay_ms,bias_compensation_scale,controller,scenario,force_rmse_n,peak_force_n,tangent_rmse_mm,orientation_rmse_deg,contact_ratio_pct,torque_rms_nm,saturation_pct,controller_p95_us,gate_pass,failed_checks
holdout_10,39,0.00982630884126916,0.666616345924397,5.3310214712878405,0.00048781626668859847,0.5042652900297321,0.7041997035490137,24,0.9536146153905953,hybrid,holdout_10,1.3697054547226084,43.62415754065403,9.81340360061096,1.859993601833125,100.0,23.680197229170332,0.0,80.26504999999999,no,peak_force
holdout_11,40,0.014969684083365263,0.4538734100734594,-1.3630959346174638,0.0002974728909451579,0.47077517516026834,-0.53719147386343,8,1.1331166766158614,hybrid,holdout_11,1.189851107208416,26.648017478281872,18.9888133638516,4.549395192215337,100.0,24.942074134905273,0.0,81.13550000000001,no,tangent_rmse
holdout_12,41,0.010640782781492502,0.5387029748135748,-4.348669535769859,0.0004918482456392485,0.4335114805682425,0.9630516868761365,4,0.8952376783847449,hybrid,holdout_12,1.6829964289342607,32.789938759177566,8.418435479848599,4.388664585617025,100.0,24.236350977247213,0.0,80.74745,yes,
holdout_13,42,0.004157095490031035,0.8957446222385741,4.047690016362196,0.0007000918838106252,0.25450082054136514,-1.288538244614735,6,1.13963904666548,hybrid,holdout_13,1.9268643985689178,44.719833798191786,29.162480995373542,4.411443228254938,100.0,22.46415160999633,0.0,86.05905,no,peak_force;tangent_rmse
holdout_14,43,0.01854056894410609,0.7193499246436468,0.5628921425678559,0.0005233768268621513,0.6359676426208379,0.1195877433433643,30,0.9082546288739861,hybrid,holdout_14,1.882855389097278,59.90445561198949,9.189951257607381,4.263178717437377,100.0,27.257925092096762,12.533333333333333,83.6272,no,peak_force;saturation
holdout_15,44,0.011166048262322805,0.6945140930554135,-4.046547879116723,0.0002313423061539127,0.12481244607448694,0.9919835450505747,22,0.9206349173180775,hybrid,holdout_15,1.697820170130629,41.89671068516991,9.232634929304648,3.301878171657,100.0,23.539076449150592,0.0,80.45174999999999,no,peak_force
holdout_16,45,0.009310201960475613,0.7114338282401711,-5.222862059022385,6.506375126759876e-05,0.5732979036975542,0.6743544537804169,10,0.8589360306107799,hybrid,holdout_16,2.3865735824913106,38.86187007770122,10.097025649857997,6.302036092862577,100.0,23.406568037379934,0.0,80.63405,no,force_rmse;peak_force
holdout_17,46,0.009743640986772654,0.8866075082684333,0.6371099749438853,7.43792101667438e-05,0.45680935956982627,0.09021106106156429,18,1.0589438236561173,hybrid,holdout_17,1.2014212733321463,37.96687308609362,20.861090676451564,2.016145745853439,100.0,22.613470663109283,0.0,88.8732,no,peak_force;tangent_rmse
holdout_18,47,0.01230453192756822,0.6203887126328989,1.405364074235118,0.00021522995307741706,0.34153579252982763,-0.5376611354357526,18,1.0240419372673168,hybrid,holdout_18,1.282771666224661,32.870725272929384,14.005886314928986,0.9904971629379611,100.0,23.994251886982305,0.0,80.6474,yes,
holdout_19,48,0.021983869226903076,0.5821221610552461,-2.7175129710933152,0.0005243852311466383,0.4935118762538059,-1.4851830576751444,8,0.9135165642046498,hybrid,holdout_19,1.1047257698211905,27.36605641840125,9.465128563230753,3.5934038538259445,100.0,24.133514080260884,0.0,83.1878,yes,
holdout_20,49,0.004909562808591864,0.7632742201993428,-2.0324300455932667,0.0007303451782944099,0.277732943141191,-0.0004159948782582745,0,1.0502093979226927,hybrid,holdout_20,1.349675345426153,45.46739596175176,18.65069740711981,1.7951204697127316,100.0,23.15396950987545,0.0,81.58564999999999,no,peak_force;tangent_rmse
holdout_21,50,0.006441248317079409,0.37685387652720825,3.517172654150336,0.00016010092796364247,0.6231489189280806,-0.7220004822538543,14,0.8501925874865197,hybrid,holdout_21,5.865243815869609,37.01403316085704,10.897971847680395,6.534944651285953,100.0,24.569831512521223,0.0,80.16255,no,force_rmse;peak_force
holdout_22,51,0.007892086507245046,0.3716637618129529,-0.6698538797246574,0.0001741276063026109,0.5043410026873096,0.12075999642219437,8,1.0607856348719908,hybrid,holdout_22,0.981043105818603,30.642160232343638,12.989844863442775,2.3579828701846206,100.0,24.875674080688594,0.0,82.95224999999999,yes,
holdout_23,52,0.013821545077775667,0.6400287583615818,-3.642401841790155,0.0007418073500606216,0.49273643116892996,-0.6329953633978916,24,1.087488104226747,hybrid,holdout_23,1.3615362114151675,32.39391365389708,18.722751135920948,3.069974946453532,100.0,23.90781192846557,0.0,79.70209999999999,no,tangent_rmse
