method,case_id,group_id,simulation_seed,episode_success,tangent_rmse_mm,force_rmse_n,contact_ratio_pct,peak_force_n,max_penetration_mm,max_speed_m_s,saturation_pct,intervention_pct,episode_return
bc_seed47,g005_seed11,02d1135b618f4bb3d559c8fd49d64ce93c43986b9e6d59576110bfabc47f2de3,287335974,True,4.4537428896518065,0.3036876291731632,100.0,13.540641287312415,0.8103288397733956,0.0708580998713028,0.0,0.0,11.619779106750933
bc_seed47,g005_seed29,02d1135b618f4bb3d559c8fd49d64ce93c43986b9e6d59576110bfabc47f2de3,2007055255,True,4.457172377439608,0.30491208195045805,100.0,13.574144489021853,0.810293644737458,0.07087245645252827,0.0,0.0,11.619619529968766
ppo_seed11,g001_seed11,76b1a9cdc26befb201d8995fa84ed0878e8eeef436f67587d023c9e35564bfff,287335974,True,1.631864599228403,0.10633647291104321,100.0,12.627871577794696,0.8509199734516928,0.07356984948212192,0.0,0.0,11.975970460397429
ppo_seed11,g001_seed29,76b1a9cdc26befb201d8995fa84ed0878e8eeef436f67587d023c9e35564bfff,2007055255,True,1.6377281482309103,0.10860034926920183,100.0,12.628594523364416,0.8508852377887357,0.07412329143221989,0.0,0.0,11.975878872540825
ppo_seed11,g005_seed11,02d1135b618f4bb3d559c8fd49d64ce93c43986b9e6d59576110bfabc47f2de3,287335974,True,3.298873781659652,0.3004364138146279,100.0,13.43262580282472,0.8103101615256625,0.0658420707306776,0.0,0.0,11.930016013049752
ppo_seed11,g005_seed29,02d1135b618f4bb3d559c8fd49d64ce93c43986b9e6d59576110bfabc47f2de3,2007055255,True,3.299296033784169,0.30156904411140045,100.0,13.472087570792425,0.8102750189211451,0.06599522566659492,0.0,0.0,11.92998890201388
ppo_seed29,g001_seed11,76b1a9cdc26befb201d8995fa84ed0878e8eeef436f67587d023c9e35564bfff,287335974,True,1.6448039639677159,0.10324655826489144,100.0,12.627871577794696,0.8509199734516928,0.07355838789048204,0.0,0.0,11.975919882582698
ppo_seed29,g001_seed29,76b1a9cdc26befb201d8995fa84ed0878e8eeef436f67587d023c9e35564bfff,2007055255,True,1.6507660948006935,0.10524918440485782,100.0,12.628594523364416,0.8508852377887357,0.07411081956256528,0.0,0.0,11.97582692895254
ppo_seed29,g005_seed11,02d1135b618f4bb3d559c8fd49d64ce93c43986b9e6d59576110bfabc47f2de3,287335974,True,3.2928986483515477,0.2983646187956273,100.0,13.427128753784059,0.8103101615256625,0.06581749751305138,0.0,0.0,11.930397276685841
ppo_seed29,g005_seed29,02d1135b618f4bb3d559c8fd49d64ce93c43986b9e6d59576110bfabc47f2de3,2007055255,True,3.293446187396194,0.29940536521683503,100.0,13.445473595664033,0.8102750189211451,0.06597185725596423,0.0,0.0,11.93036694439819
ppo_seed47,g001_seed11,76b1a9cdc26befb201d8995fa84ed0878e8eeef436f67587d023c9e35564bfff,287335974,True,1.6053547018139112,0.1051100991315199,100.0,12.627871577794696,0.8509199734516928,0.07351505626864427,0.0,0.0,11.97673209787993
ppo_seed47,g001_seed29,76b1a9cdc26befb201d8995fa84ed0878e8eeef436f67587d023c9e35564bfff,2007055255,True,1.6119436150023023,0.10727178034736468,100.0,12.628594523364416,0.8508852377887357,0.07406179772601872,0.0,0.0,11.976630263091087
ppo_seed47,g005_seed11,02d1135b618f4bb3d559c8fd49d64ce93c43986b9e6d59576110bfabc47f2de3,287335974,True,3.152885746622715,0.3007118168918202,100.0,13.427128753784059,0.8103101615256625,0.06587660158533566,0.0,0.0,11.935253632233252
ppo_seed47,g005_seed29,02d1135b618f4bb3d559c8fd49d64ce93c43986b9e6d59576110bfabc47f2de3,2007055255,True,3.153805039993691,0.3017244982899522,100.0,13.448529504645117,0.8102750189211451,0.06601973168611115,0.0,0.0,11.935212397784326
zero_adaptive,g001_seed11,76b1a9cdc26befb201d8995fa84ed0878e8eeef436f67587d023c9e35564bfff,287335974,True,11.646701640406746,0.10434752644083174,100.0,12.627871577794696,0.8509199734516928,0.07141747523539169,0.0,0.0,11.277903548313521
zero_friction,g001_seed11,76b1a9cdc26befb201d8995fa84ed0878e8eeef436f67587d023c9e35564bfff,287335974,True,1.6146394519251024,0.10363619875107015,100.0,12.627871577794696,0.8509199734516928,0.07344480911581368,0.0,0.0,11.97662409532566
friction_teacher_50hz,g001_seed11,76b1a9cdc26befb201d8995fa84ed0878e8eeef436f67587d023c9e35564bfff,287335974,True,1.9571235436291408,0.10384842121232203,100.0,12.627871577794696,0.8509199734516928,0.07465586655804185,0.0,0.0,11.681788217441001
zero_adaptive,g001_seed29,76b1a9cdc26befb201d8995fa84ed0878e8eeef436f67587d023c9e35564bfff,2007055255,True,11.65102245861259,0.1062469082279742,100.0,12.628594523364416,0.8508852377887357,0.07207380217978669,0.0,0.0,11.27738663861298
zero_friction,g001_seed29,76b1a9cdc26befb201d8995fa84ed0878e8eeef436f67587d023c9e35564bfff,2007055255,True,1.6207151294105009,0.1056743426632556,100.0,12.628594523364416,0.8508852377887357,0.07399668226946887,0.0,0.0,11.97653101002121
friction_teacher_50hz,g001_seed29,76b1a9cdc26befb201d8995fa84ed0878e8eeef436f67587d023c9e35564bfff,2007055255,True,1.963381350739178,0.10571330565526431,100.0,12.628594523364416,0.8508852377887357,0.07518414833640266,0.0,0.0,11.681749812334056
zero_adaptive,g005_seed11,02d1135b618f4bb3d559c8fd49d64ce93c43986b9e6d59576110bfabc47f2de3,287335974,True,13.239873286297792,0.2964099545411826,100.0,13.429178624202498,0.8103288397733956,0.068419516638245,0.0,0.0,11.067100620475463
zero_friction,g005_seed11,02d1135b618f4bb3d559c8fd49d64ce93c43986b9e6d59576110bfabc47f2de3,287335974,True,3.1873628682404274,0.29886367542077713,100.0,13.427128753784059,0.8103101615256625,0.06577287875212588,0.0,0.0,11.934175292853906
friction_teacher_50hz,g005_seed11,02d1135b618f4bb3d559c8fd49d64ce93c43986b9e6d59576110bfabc47f2de3,287335974,True,3.289372660100671,0.30047511636654245,100.0,13.429178624202498,0.8103288397733956,0.06828925877609827,0.0,0.0,11.611225590404123
zero_adaptive,g005_seed29,02d1135b618f4bb3d559c8fd49d64ce93c43986b9e6d59576110bfabc47f2de3,2007055255,True,13.24286318511685,0.2970912256836505,100.0,13.461312609712483,0.810293644737458,0.06835170069446547,0.0,0.0,11.066673886031301
zero_friction,g005_seed29,02d1135b618f4bb3d559c8fd49d64ce93c43986b9e6d59576110bfabc47f2de3,2007055255,True,3.188016363746876,0.29984027676208935,100.0,13.435051210728652,0.8102750189211451,0.06591326047235246,0.0,0.0,11.93414321571269
friction_teacher_50hz,g005_seed29,02d1135b618f4bb3d559c8fd49d64ce93c43986b9e6d59576110bfabc47f2de3,2007055255,True,3.287963676064845,0.3014015982099626,100.0,13.43553491215553,0.810293644737458,0.06841890633681233,0.0,0.0,11.611208637015642
