case_index,rotation_gain_scale,max_force_n,velocity_error_time_s,trace_path,row_origin,window,start_s,end_s,samples,active_pct,ready_pct,projection_allowed_pct,amplitude_capped_pct,slew_limited_pct,positive_update_pct,cap_blocks_positive_update_pct,position_lag_velocity_ahead_pct,positive_update_lag_ahead_pct,rate_limited_candidate_pct,position_drive_mean_mm,velocity_drive_mean_mm,drive_mean_mm,accepted_positive_coefficient_sum,accepted_negative_coefficient_sum,coefficient_start,coefficient_end,corrected_force_mean_n
23,1.0,8.0,0.1,traces/case23__s1__f8n__tv100ms.npz,executed,late,3.5,4.5,500,100.0,100.0,100.0,0.0,0.0,25.4,0.0,41.6,25.4,0.0,-0.055990982107561454,-0.10480713843708145,-0.1607981205446429,0.0020726914420927667,-0.012554890725581691,0.5172330147730141,0.5067508154895252,11.921276598113394
23,2.0,6.0,0.05,results/franka_onset_observer/traces/case23__s2__f6n.npz,pinned_reference,motion_ramp,1.2,1.5,150,100.0,0.0,100.0,0.0,92.66666666666666,0.0,0.0,0.0,0.0,0.0,0.7751479765478986,0.5244648666028917,1.2996128431507903,0.0,0.0,0.45,0.45,12.425854525154733
23,2.0,6.0,0.05,results/franka_onset_observer/traces/case23__s2__f6n.npz,pinned_reference,onset,1.5,2.0,250,100.0,92.4,100.0,27.200000000000003,0.0,59.199999999999996,27.200000000000003,74.8,42.0,0.0,2.432029544449263,-0.26665238736908176,2.165377157080181,0.04063633437108172,-0.00023448770851502987,0.45,0.4904018466625667,12.403413845671228
23,2.0,6.0,0.05,results/franka_onset_observer/traces/case23__s2__f6n.npz,pinned_reference,middle,2.0,3.5,750,100.0,100.0,100.0,53.6,0.0,38.93333333333333,53.46666666666666,82.53333333333333,26.266666666666666,0.0,0.5159545359147222,-0.05674092557971307,0.45921361033500907,0.015893320469794192,-0.0012434321908372237,0.4904018466625667,0.5050517349415237,12.005226380400956
23,2.0,6.0,0.05,results/franka_onset_observer/traces/case23__s2__f6n.npz,pinned_reference,late,3.5,4.5,500,100.0,100.0,100.0,93.0,0.0,6.6000000000000005,68.60000000000001,81.8,6.6000000000000005,0.0,0.2368802413294827,-0.05543807402771185,0.18144216730177085,0.0016548937211269266,-0.0023372104824603834,0.5050517349415237,0.5043694181801902,11.920884280233157
23,2.0,6.0,0.1,traces/case23__s2__f6n__tv100ms.npz,executed,motion_ramp,1.2,1.5,150,100.0,0.0,100.0,0.0,92.66666666666666,0.0,0.0,0.0,0.0,0.0,0.7751479765478986,1.0489297332057834,1.824077709753682,0.0,0.0,0.45,0.45,12.425854525154733
23,2.0,6.0,0.1,traces/case23__s2__f6n__tv100ms.npz,executed,onset,1.5,2.0,250,100.0,92.4,100.0,19.6,0.0,53.2,19.6,74.8,36.0,0.4,2.4301172542642693,-0.5259501869462154,1.9041670673180542,0.0376798807030439,-0.0015317489212078317,0.45,0.4861481317818361,12.403132133792088
23,2.0,6.0,0.1,traces/case23__s2__f6n__tv100ms.npz,executed,middle,2.0,3.5,750,100.0,100.0,100.0,47.599999999999994,0.0,44.800000000000004,47.599999999999994,85.2,32.666666666666664,0.0,0.5518432043803984,-0.11314517396661081,0.43869803041378763,0.020183567446907413,-0.0013472569659913058,0.4861481317818361,0.5049844422627522,12.00529644425105
23,2.0,6.0,0.1,traces/case23__s2__f6n__tv100ms.npz,executed,late,3.5,4.5,500,100.0,100.0,100.0,91.8,0.0,7.6,59.0,81.8,7.6,0.0,0.23720911914004789,-0.11090365615196018,0.1263054629880877,0.0016177591874066977,-0.003469913052432383,0.5049844422627522,0.5031322883977265,11.920917484820649
23,2.0,8.0,0.05,results/franka_onset_observer/traces/case23__s2__f8n.npz,pinned_reference,motion_ramp,1.2,1.5,150,100.0,0.0,100.0,0.0,92.66666666666666,0.0,0.0,0.0,0.0,0.0,0.7751479765478986,0.5244648666028917,1.2996128431507903,0.0,0.0,0.45,0.45,12.425854525154733
23,2.0,8.0,0.05,results/franka_onset_observer/traces/case23__s2__f8n.npz,pinned_reference,onset,1.5,2.0,250,100.0,92.4,100.0,0.0,0.0,74.4,0.0,68.8,57.199999999999996,0.0,2.309082208278001,-0.306077832970139,2.003004375307862,0.05511060062503209,-0.0017603360127363965,0.45,0.5033502646122957,12.406232167093982
23,2.0,8.0,0.05,results/franka_onset_observer/traces/case23__s2__f8n.npz,pinned_reference,middle,2.0,3.5,750,100.0,100.0,100.0,0.0,0.0,73.86666666666667,0.0,67.86666666666666,63.2,0.0,0.23247338705406792,-0.06531371019728695,0.16715967685678101,0.02275996309527545,-0.006507708011814828,0.5033502646122957,0.5196025196957563,12.003501613499918
23,2.0,8.0,0.05,results/franka_onset_observer/traces/case23__s2__f8n.npz,pinned_reference,late,3.5,4.5,500,100.0,100.0,100.0,0.0,0.0,23.599999999999998,0.0,32.6,23.599999999999998,0.0,-0.11518179820918753,-0.053751391010157475,-0.16893318921934505,0.0018768249858959196,-0.012886350068193941,0.5196025196957563,0.5085929946134583,11.921980006904452
23,2.0,8.0,0.1,traces/case23__s2__f8n__tv100ms.npz,executed,motion_ramp,1.2,1.5,150,100.0,0.0,100.0,0.0,92.66666666666666,0.0,0.0,0.0,0.0,0.0,0.7751479765478986,1.0489297332057834,1.824077709753682,0.0,0.0,0.45,0.45,12.425854525154733
23,2.0,8.0,0.1,traces/case23__s2__f8n__tv100ms.npz,executed,onset,1.5,2.0,250,100.0,92.4,100.0,0.0,0.0,64.8,0.0,72.0,47.599999999999994,0.4,2.332723257216636,-0.5806858308688042,1.7520374263478316,0.04783331653646222,-0.0038701600027952754,0.45,0.49396315653366696,12.404921380293453
23,2.0,8.0,0.1,traces/case23__s2__f8n__tv100ms.npz,executed,middle,2.0,3.5,750,100.0,100.0,100.0,0.0,0.0,82.53333333333333,0.0,74.66666666666667,67.60000000000001,0.0,0.36050530588495383,-0.12712619812323508,0.23337910776171875,0.026675397864847794,-0.0039928639978152325,0.49396315653366696,0.5166456904006995,12.004079508779409
23,2.0,8.0,0.1,traces/case23__s2__f8n__tv100ms.npz,executed,late,3.5,4.5,500,100.0,100.0,100.0,0.0,0.0,25.8,0.0,42.199999999999996,25.8,0.0,-0.049309630665116205,-0.1077073779771838,-0.15701700864230003,0.002145225506806958,-0.012376024612918868,0.5166456904006995,0.5064148912945876,11.921858898422666
