case_index,rotation_gain_scale,wall_yaw_deg,wall_time_constant_s,tool_mass_kg,simulation_seed,original_compatibility,reference_trace,candidate_trace,start_s,end_s,samples,velocity_rms_6_m_s,velocity_rms_8_m_s,velocity_rms_delta_m_s,along_mse_6_m2_s2,along_mse_8_m2_s2,cross_mse_6_m2_s2,cross_mse_8_m2_s2,along_mean_6_m_s,along_mean_8_m_s,cross_mean_6_m_s,cross_mean_8_m_s,along_variance_6_m2_s2,along_variance_8_m2_s2,cross_variance_6_m2_s2,cross_variance_8_m2_s2,position_rms_6_mm,position_rms_8_mm,position_rms_delta_mm,position_along_mean_6_mm,position_along_mean_8_mm,request_along_mean_6_n,request_along_mean_8_n,request_along_std_6_n,request_along_std_8_n,request_delta_vector_rms_n,mse_delta_m2_s2,weighted_mse_delta_m2_s2
6,1.0,-15.0,0.012,0.13,11,PASS,results/franka_rotation_gain_public24/traces/s1__online__case_06__compact.npz,results/franka_budget_transfer/traces/public24__case06__s1__f8n.npz,1.5,4.5,1500,0.0042665940974670235,0.0044356457968961725,0.00016905169942914907,1.5753648734817147e-05,1.763277898781233e-05,2.4501764577232945e-06,2.0421746477103465e-06,0.0018020055472243726,0.002036013398324406,0.0013008706413680752,0.0009089509886964544,1.250642474258974e-05,1.3487428429655832e-05,7.579120321499075e-07,1.2159827478580845e-06,1.3905309504106815,1.3529514712872306,-0.037579479123450804,-0.8125877841401814,-0.4432949589996471,5.943138923052254,6.119670307858621,0.10969166355527431,0.18429377650438664,0.20435106578031778,1.4711284429822362e-06,1.4711284429822362e-06
6,2.0,-15.0,0.012,0.13,11,FAIL,results/franka_rotation_gain_public24/traces/s2__online__case_06__compact.npz,results/franka_budget_transfer/traces/public24__case06__s2__f8n.npz,1.5,4.5,1500,0.00470925394864945,0.004941725328482287,0.00023247137983283678,1.9241074593999933e-05,2.1901220978558357e-05,2.9359981588705028e-06,2.519428243604998e-06,0.0018465336984453894,0.0020747586275390887,0.0013670740144879011,0.000969434471911267,1.5831387894505522e-05,1.7596597616010476e-05,1.067106797782437e-06,1.5796250482751213e-06,1.4337579034446424,1.4068154806972493,-0.026942422747393148,-0.8082726679689566,-0.4395237310155963,5.943262762145207,6.119409047729251,0.11105595819850664,0.18381264233751554,0.20305848231927065,2.2435764692929168e-06,2.2435764692929168e-06
7,1.0,-15.0,0.012,0.13,29,FAIL,results/franka_rotation_gain_public24/traces/s1__online__case_07__compact.npz,results/franka_budget_transfer/traces/public24__case07__s1__f8n.npz,1.5,4.5,1500,0.004300016768223126,0.004500118125322177,0.00020010135709905112,1.598277150951156e-05,1.8119151545443892e-05,2.507372697488498e-06,2.1319115964092935e-06,0.001793257556952453,0.002013115575853504,0.0012950636782104402,0.0009154246387943265,1.2766998843944478e-05,1.4066517223699904e-05,8.301827668685433e-07,1.2939093270975704e-06,1.3856502478447041,1.34705211748812,-0.03859813035658418,-0.8045295419638107,-0.44779629353576,5.943101789023514,6.1135066159193965,0.10631367013200338,0.18165231347188898,0.19987966770878207,1.760918934853128e-06,1.760918934853128e-06
7,2.0,-15.0,0.012,0.13,29,FAIL,results/franka_rotation_gain_public24/traces/s2__online__case_07__compact.npz,results/franka_budget_transfer/traces/public24__case07__s2__f8n.npz,1.5,4.5,1500,0.004746227117939845,0.005009141530662538,0.0002629144127226932,1.9516648742213416e-05,2.2459216076761592e-05,3.01002311285415e-06,2.632282797446638e-06,0.0018365053881674173,0.0020505941925117893,0.0013617183766254008,0.0009779613708656766,1.6143896701445462e-05,1.8254279534398512e-05,1.155746175614833e-06,1.6758743545411645e-06,1.4306041144989754,1.403451015253505,-0.027153099245470595,-0.8013680402936719,-0.44629445204815005,5.942691960646917,6.112250105285445,0.1086200789669302,0.18284055616902892,0.19888968523373468,2.5648270191406645e-06,2.5648270191406645e-06
8,1.0,0.0,0.005,0.1,11,PASS,results/franka_rotation_gain_public24/traces/s1__online__case_08__compact.npz,results/franka_budget_transfer/traces/public24__case08__s1__f8n.npz,1.5,4.5,1500,0.004047786920887701,0.0041770760178482325,0.00012928909696053106,1.3551638645980848e-05,1.4848094999119854e-05,2.832940310928695e-06,2.599869059762998e-06,0.001748442662238867,0.0019124379554535521,0.001223575334127272,0.0009279667641811581,1.049458690284391e-05,1.1190676065660487e-05,1.3358037126440298e-06,1.7387467443381486e-06,1.2828497634943612,1.267382198279002,-0.015467565215359236,-0.6928591954245107,-0.42688099512820415,5.952721290311605,6.079729678894659,0.08460739488411861,0.13714964847740713,0.14790909093087207,1.0633851019733102e-06,1.0633851019733102e-06
8,2.0,0.0,0.005,0.1,11,PASS,results/franka_rotation_gain_public24/traces/s2__online__case_08__compact.npz,results/franka_budget_transfer/traces/public24__case08__s2__f8n.npz,1.5,4.5,1500,0.004500353554568147,0.004658081142065683,0.00015772758749753573,1.694277979621142e-05,1.861263799125156e-05,3.310402319902735e-06,3.085081934816381e-06,0.0017809984929318414,0.0019389266833453494,0.0012705243795288516,0.0009819426272092478,1.3770824164385931e-05,1.4853201307862959e-05,1.6961701209255622e-06,2.1208706116857817e-06,1.3241418381504455,1.3134239267858592,-0.010717911364586377,-0.6868246097813229,-0.42874708832760433,5.952916817242185,6.07610078423034,0.08241297136046966,0.13361808147039692,0.14372840505493906,1.444537809953786e-06,1.444537809953786e-06
9,1.0,0.0,0.005,0.1,29,PASS,results/franka_rotation_gain_public24/traces/s1__online__case_09__compact.npz,results/franka_budget_transfer/traces/public24__case09__s1__f8n.npz,1.5,4.5,1500,0.004095947391413219,0.004246275284799449,0.00015032789338623002,1.3852226520234624e-05,1.5316495579303184e-05,2.9245585129901262e-06,2.714358214995454e-06,0.0017401305404608483,0.001890938306227877,0.0012123019724794594,0.0009316697864320269,1.0824172222390063e-05,1.1740847901343232e-05,1.4548824405125378e-06,1.8463496240451547e-06,1.2755523468363215,1.2597474763212027,-0.015804870515118877,-0.6822511201158098,-0.4304726912469729,5.95208879711133,6.07225789615484,0.08105660618782823,0.13429431795392724,0.14250270972589277,1.2540687610738901e-06,1.2540687610738901e-06
9,2.0,0.0,0.005,0.1,29,PASS,results/franka_rotation_gain_public24/traces/s2__online__case_09__compact.npz,results/franka_budget_transfer/traces/public24__case09__s2__f8n.npz,1.5,4.5,1500,0.004555049570237803,0.004733440432809658,0.00017839086257185471,1.7328045913150954e-05,1.9184866398279354e-05,3.4204306741726435e-06,3.2205919326779297e-06,0.0017725134575002155,0.0019172450931071007,0.0012587920991742067,0.0009852664902443814,1.4186241956131586e-05,1.55090376512361e-05,1.8358731252292373e-06,2.2498418758794485e-06,1.317944022871218,1.3073550506287872,-0.010588972242430838,-0.6758941243407427,-0.4322203020466344,5.952444440595258,6.068749016928831,0.07895153690022827,0.1311558183972898,0.13853072515686476,1.6569817436336864e-06,1.6569817436336864e-06
10,1.0,0.0,0.005,0.13,11,PASS,results/franka_rotation_gain_public24/traces/s1__online__case_10__compact.npz,results/franka_budget_transfer/traces/public24__case10__s1__f8n.npz,1.5,4.5,1500,0.00407315049592198,0.004206380173393133,0.0001332296774711533,1.3733534039937229e-05,1.5073711784241901e-05,2.857020922492243e-06,2.6199223788729417e-06,0.0017561498451290657,0.0019218227658027924,0.0012290244992893239,0.0009306959853490778,1.0649471761390384e-05,1.138030904108401e-05,1.3465197026388702e-06,1.753727361728051e-06,1.289439743328815,1.2741307702528044,-0.015308973076010512,-0.6964855811381874,-0.4279868926551498,5.952849543902079,6.081055426963207,0.08449853307347627,0.13734521021066742,0.14908729437011992,1.1030792006853738e-06,1.1030792006853738e-06
10,2.0,0.0,0.005,0.13,11,PASS,results/franka_rotation_gain_public24/traces/s2__online__case_10__compact.npz,results/franka_budget_transfer/traces/public24__case10__s2__f8n.npz,1.5,4.5,1500,0.004527011426375212,0.0046893403117054125,0.00016232888533020042,1.7154418317838863e-05,1.887951418114995e-05,3.3394141366928693e-06,3.110398377835464e-06,0.0017883148347236477,0.001948062395829221,0.0012762469871215642,0.0009848784482692267,1.3956348369746197e-05,1.5084567083106061e-05,1.7106077645559992e-06,2.140412819970264e-06,1.3308323539652076,1.3203858081525393,-0.010446545812668176,-0.6904682116336907,-0.42981897693835874,5.953020553947162,6.0774324378292945,0.08232836527828302,0.13383170126002397,0.14490252840420828,1.49608010445368e-06,1.49608010445368e-06
