arm,case_index,scenario_seed,simulation_seed,controller,scenario,force_rmse_n,peak_force_n,tangent_rmse_mm,orientation_rmse_deg,contact_ratio_pct,torque_rms_nm,saturation_pct,controller_p95_us,gate_pass,failed_checks,verified_force_rmse_n_abs_error,verified_peak_force_n_abs_error,verified_tangent_rmse_mm_abs_error,verified_orientation_rmse_deg_abs_error,verified_contact_ratio_pct_abs_error,verified_torque_rms_nm_abs_error,verified_saturation_pct_abs_error,first_raw_contact_time_s,first_contact_wall_normal_velocity_m_s,early_raw_peak_n,late_raw_peak_n,seconds_over_35_n,peak_wall_normal_velocity_m_s,peak_commanded_wall_normal_force_n,event_timing,has_raw_contact
consistent_reference,3,2020940413233927572,6354302425675587931,safe_adaptive_hybrid,blind_03,1.072408484233236,34.81443226732263,6.299758647318627,1.9354204243551418,100.0,24.839420901558785,0.0,297.1892,yes,,,,,,,,,0.634,0.02769944215294918,17.398134325617132,34.81443226732263,0.0,0.019886187916248545,13.725217132033242,aligned_split_step,True
consistent_reference,4,4577279984682491532,6078883991136184361,safe_adaptive_hybrid,blind_04,1.107969568608723,30.11522897315725,12.509161800135992,3.6885357614982452,100.0,25.06197908560582,0.0,307.5651,yes,,,,,,,,,0.384,0.054989058768282924,28.739524750475063,30.11522897315725,0.0,0.02285172753239304,9.812349844131637,aligned_split_step,True
consistent_reference,5,12532684049207094977,15871473360209801291,safe_adaptive_hybrid,blind_05,0.9367846912660083,34.16461171059116,7.104311200249182,0.8278963929288536,100.0,24.732003318684402,0.0,402.12335,yes,,,,,,,,,0.518,0.09972451611320614,34.16461171059116,24.494943653069164,0.0,0.09428154847808588,11.009151134170073,aligned_split_step,True
consistent_reference,6,7882380471846633001,1368606503599248569,safe_adaptive_hybrid,blind_06,1.0131966361290399,31.046587056880252,11.468855895220802,2.622539329654636,100.0,24.949841074029965,0.0,311.96074999999996,yes,,,,,,,,,0.438,0.04496093576143681,25.41985018865792,31.046587056880252,0.0,0.018589898468797515,10.919398354675925,aligned_split_step,True
consistent_reference,7,5165992133808271741,4212905083092472312,safe_adaptive_hybrid,blind_07,1.2342168519668266,37.096691812383085,16.360334232774836,3.3536445087625077,100.0,23.634452148286954,0.0,296.0972,no,peak_force;tangent_rmse,,,,,,,,0.384,0.05334773847205928,28.477396148069992,37.096691812383085,0.022,0.019722502982274986,10.696605625255486,aligned_split_step,True
consistent_reference,8,16600002752657376626,10536290159291755175,safe_adaptive_hybrid,blind_08,1.0887615404884332,32.620652955427985,9.243978569873331,0.879815392049567,100.0,24.76690104023133,0.0,310.17184999999995,yes,,,,,,,,,0.544,0.029604627940571667,16.705468395720548,32.620652955427985,0.0,0.0180701510844975,11.340367691872885,aligned_split_step,True
consistent_reference,9,4727713754755130212,15747546615271449326,safe_adaptive_hybrid,blind_09,1.3065220902590762,33.644661705802896,15.126737760368155,4.518538093148207,100.0,25.086878509136767,0.0,300.95279999999997,no,tangent_rmse,,,,,,,,0.34,0.05761747067672341,33.53693841900042,33.644661705802896,0.0,0.021475769266305476,9.281170821591711,aligned_split_step,True
consistent_reference,10,3368952493427191032,13339311572783859749,safe_adaptive_hybrid,blind_10,3.0975377093439156,63.262286747956516,7.111534380649563,5.815524467446311,100.0,28.585820660878458,0.0,394.34324999999995,no,force_rmse;peak_force,,,,,,,,0.594,0.12543792948493174,63.262286747956516,32.35360254055346,0.028,0.2661249007650801,13.16039262267635,aligned_split_step,True
consistent_reference,11,4985723986314484826,16966187773281696136,safe_adaptive_hybrid,blind_11,1.433797242513403,45.741737203607116,11.569120123615004,1.898753457856541,100.0,22.889259997626187,0.0,322.8456,no,peak_force,,,,,,,,0.628,0.027976245027516944,16.79096008798484,45.741737203607116,0.164,0.017508229674721293,12.896976982129503,aligned_split_step,True
consistent_reference,12,6318558907587832529,9857423924251884370,safe_adaptive_hybrid,blind_12,1.1371310994229797,32.3370127300019,13.63776277056528,3.918009153393013,100.0,25.05199317357395,0.0,306.31325,yes,,,,,,,,,0.362,0.05394509481276685,29.609427705749987,32.3370127300019,0.0,0.018774523344008497,9.167831854887794,aligned_split_step,True
