rotation_gain_scale,max_force_n,row_origin,trace_path,case_index,wall_yaw_deg,wall_time_constant_s,tool_mass_kg,simulation_seed,has_raw_contact,force_rmse_n,peak_force_n,tangent_rmse_mm,contact_ratio_pct,saturation_pct,orientation_rmse_deg,measurement_rmse_n,seconds_over_35_n,first_raw_contact_time_s,max_penetration_mm,evaluation_median_penetration_mm,projection_pct,max_compensation_force_n,tangent_velocity_error_rms_m_s,minimum_torque_headroom_nm,minimum_reserved_torque_headroom_nm
2.0,6.0,pinned_reference,results/franka_rotation_gain_public24/traces/s2__online__case_06__compact.npz,6,-15.0,0.012,0.13,11,True,0.2223399895855853,12.548648146281925,1.4337579034446424,100.0,0.0,0.30511577354137914,0.2004722807052706,0.0,0.548,0.848379393403157,0.7075042753887755,0.0,5.984360762996737,0.00470925394864945,6.107964328163643,4.907964328163644
2.0,8.0,executed,traces/public24__case06__s2__f8n.npz,6,-15.0,0.012,0.13,11,True,0.22375484230902348,12.548648146281925,1.4068154806972493,100.0,0.0,0.307051539750603,0.20079334885134711,0.0,0.548,0.848379393403157,0.7060748757474998,0.0,6.332703856567055,0.004941725328482287,6.107964328163643,4.907964328163644
1.0,6.0,pinned_reference,results/franka_rotation_gain_public24/traces/s1__online__case_07__compact.npz,7,-15.0,0.012,0.13,29,True,0.20919250710513176,12.610598257013178,1.3856502478447041,100.0,0.0,0.570540565691371,0.2055852322325357,0.0,0.546,0.8490392960182682,0.7075843498366464,0.0,5.984360716642944,0.004300016768223126,6.126649951274542,4.926649951274543
1.0,8.0,executed,traces/public24__case07__s1__f8n.npz,7,-15.0,0.012,0.13,29,True,0.21078378247274904,12.610598257013178,1.34705211748812,100.0,0.0,0.5740196936998543,0.2057915387053382,0.0,0.546,0.8490392960182682,0.7062954145627132,0.0,6.33875539281329,0.004500118125322177,6.126649951274542,4.926649951274543
2.0,6.0,pinned_reference,results/franka_rotation_gain_public24/traces/s2__online__case_07__compact.npz,7,-15.0,0.012,0.13,29,True,0.21388695683992942,12.527375258898903,1.4306041144989754,100.0,0.0,0.3052719800193867,0.20535431008891297,0.0,0.548,0.8481726479865233,0.7081566716580119,0.0,5.984360716642944,0.004746227117939845,6.133054301827334,4.933054301827335
2.0,8.0,executed,traces/public24__case07__s2__f8n.npz,7,-15.0,0.012,0.13,29,True,0.21533430083891628,12.527375258898903,1.403451015253505,100.0,0.0,0.30717351659658076,0.20550764080109138,0.0,0.548,0.8481726479865233,0.7066616192559703,0.0,6.332642361082511,0.005009141530662538,6.133054301827334,4.933054301827335
1.0,6.0,pinned_reference,results/franka_rotation_gain_public24/traces/s1__online__case_08__compact.npz,8,0.0,0.005,0.1,11,True,0.16183147168143094,12.636585788580819,1.2828497634943612,100.0,0.0,0.4638554376914606,0.20870376591755527,0.0,0.5740000000000001,0.7897611603013623,0.6574623106455415,0.0,5.984360762996737,0.004047786920887701,6.087754601031241,4.887754601031242
1.0,8.0,executed,traces/public24__case08__s1__f8n.npz,8,0.0,0.005,0.1,11,True,0.16245630936919503,12.636585788580819,1.267382198279002,100.0,0.0,0.46618544150061136,0.20906374773111525,0.0,0.5740000000000001,0.7897611603013623,0.6572247241715747,0.0,6.235073043773004,0.0041770760178482325,6.083820193013489,4.88382019301349
2.0,6.0,pinned_reference,results/franka_rotation_gain_public24/traces/s2__online__case_08__compact.npz,8,0.0,0.005,0.1,11,True,0.1592797646179324,12.579745879986286,1.3241418381504455,100.0,0.0,0.24805116097218713,0.20845825057648998,0.0,0.5760000000000001,0.788852548495679,0.6573293780838609,0.0,5.984360762996737,0.004500353554568147,6.08913129305576,4.889131293055761
2.0,8.0,executed,traces/public24__case08__s2__f8n.npz,8,0.0,0.005,0.1,11,True,0.1597105490994469,12.579745879986286,1.3134239267858592,100.0,0.0,0.24929513381803864,0.20869274059182097,0.0,0.5760000000000001,0.788852548495679,0.6571373934067328,0.0,6.22834424233124,0.004658081142065683,6.085417316682893,4.885417316682894
