rotation_gain_scale,max_force_n,row_origin,trace_path,surface_yaw_deg,variant,case,simulation_seed,arm,sample_count,force_rmse_n,peak_force_n,contact_ratio_pct,tangent_rmse_mm,tangent_velocity_error_rms_m_s,orientation_rmse_deg,saturation_pct,worst_force_phase,worst_phase_force_rmse_n,worst_tangent_phase,worst_phase_tangent_rmse_mm,worst_orientation_phase,worst_phase_orientation_rmse_deg,force_recovery_status,force_recovered,force_recovery_time_s,tangent_recovery_status,tangent_recovered,tangent_recovery_time_s,tangential_update_ready_pct,coefficient_min,coefficient_max,max_requested_tangential_force_n,max_normal_operation_coefficient_rate_s,max_coefficient_reset_jump,max_normal_operation_force_slew_n_s,max_force_reset_jump_n,projection_pct,minimum_torque_headroom_nm,minimum_reserved_torque_headroom_nm,diagnostic_compensation_active_pct,diagnostic_amplitude_capped_pct,diagnostic_slew_limited_pct,failed_absolute_checks,absolute_checks_pass,comparator_gates_evaluated,comparator_gate_status,max_uncapped_tangential_amplitude_n,max_matched_request_difference_n
2.0,6.0,executed,traces/dynamic__yaw0__combined__s2__f6n.npz,0,combined,modest_combined,11,online,5250,0.5596207331215616,12.544903594440678,100.0,2.3772890188301097,0.0041079746345819715,0.19756213820448212,0.0,combined_post,0.7805004421622224,combined_post,3.2549953184760527,pre_change,0.2993870480514187,recovered,True,1.274000000000001,recovered,True,0.0,80.80000000000001,0.3401404335403175,0.5091108835308411,5.984317976910444,0.2818827610825969,0.0,20.00000000000045,0.0,0.0,5.669332928335114,4.469332928335115,100.0,38.72380952380952,3.219047619047619,,yes,no,not_evaluated,6.193773638422651,0.0
2.0,8.0,executed,traces/dynamic__yaw0__combined__s2__f8n.npz,0,combined,modest_combined,11,online,5250,0.5585200297131814,12.544903594440678,100.0,1.4741713966070842,0.003707950092913617,0.20093706457662786,0.0,combined_post,0.7782227763982007,pre_change,1.8323268774983965,pre_change,0.2993870480514187,recovered,True,1.258000000000001,recovered,True,0.0,80.80000000000001,0.3401404335403175,0.6653840426221607,7.979090635880593,0.2818827610825969,0.0,20.00000000000045,0.0,0.0,5.678475420782677,4.478475420782678,100.0,9.714285714285714,3.219047619047619,,yes,no,not_evaluated,8.093531512078293,1.9947726589701484
1.0,6.0,pinned_reference,results/franka_compensation_budget/traces/yaw_0__modest_combined__no_bias__seed_11__online__s1__f6n__diagnostic.npz,0,no_bias,modest_combined,11,online,5250,0.2663046212149494,12.638301682485118,100.0,2.874335728471549,0.004552134616131757,0.36343296983530077,0.0,combined_post,0.38123437489181355,combined_post,4.132423983430001,pre_change,0.5592049799791391,recovered,True,0.0,recovered,True,0.2900000000000009,80.81904761904762,0.3394949826870767,0.5091198732339843,5.984317976910444,0.2999999999999947,0.0,20.000000000000515,0.0,0.0,5.404218644288477,4.204218644288478,100.0,39.714285714285715,3.2,,yes,no,not_evaluated,6.195809898707211,0.0
1.0,8.0,pinned_reference,results/franka_compensation_budget/traces/yaw_0__modest_combined__no_bias__seed_11__online__s1__f8n__diagnostic.npz,0,no_bias,modest_combined,11,online,5250,0.26803674786227105,12.638301682485118,100.0,1.574482519061554,0.0037754416218088336,0.3698456516981714,0.0,combined_post,0.3842924168547476,pre_change,1.7913973979883537,pre_change,0.5592049799791391,recovered,True,0.0,recovered,True,0.0,80.34285714285714,0.3394949826870767,0.6682856911912917,7.979090635880593,0.2999999999999947,0.0,20.000000000000515,0.0,0.0,5.415192406781843,4.215192406781844,100.0,15.161904761904763,3.219047619047619,,yes,no,not_evaluated,8.13362830248631,1.9947726589701484
2.0,6.0,executed,traces/dynamic__yaw0__no_bias__s2__f6n.npz,0,no_bias,modest_combined,11,online,5250,0.26574723893402313,12.579944627326514,100.0,2.8853368297535447,0.004671718001771385,0.1955513262931873,0.0,combined_post,0.38605683999086166,combined_post,4.12251391678036,pre_change,0.2993870480514187,recovered,True,0.0,recovered,True,0.22799999999999976,80.85714285714286,0.3401404335403175,0.51021774126767,5.984317976910444,0.2999999999999947,0.0,20.00000000000045,0.0,0.0,5.40303460525463,4.203034605254631,100.0,39.58095238095238,3.1619047619047618,,yes,no,not_evaluated,6.206893095285693,0.0
2.0,8.0,executed,traces/dynamic__yaw0__no_bias__s2__f8n.npz,0,no_bias,modest_combined,11,online,5250,0.2678789467653357,12.565871476810425,100.0,1.6032990958844155,0.003947648414532817,0.19921666521852818,0.0,combined_post,0.39001847445984517,pre_change,1.8323268774983965,pre_change,0.2993870480514187,recovered,True,0.0,recovered,True,0.0,80.38095238095238,0.3401404335403175,0.6682791935871879,7.979090635880593,0.2999999999999947,0.0,20.00000000000045,0.0,0.0,5.415384479082861,4.215384479082862,100.0,15.104761904761904,3.1809523809523808,,yes,no,not_evaluated,8.131490528021537,1.9947726589701484
1.0,6.0,pinned_reference,results/franka_compensation_budget/traces/yaw_15__modest_combined__combined__seed_11__online__s1__f6n__diagnostic.npz,15.0,combined,modest_combined,11,online,5250,0.564658816271803,12.628817270787037,100.0,2.397578763690601,0.003926510370174217,0.4033014159784949,0.0,combined_post,0.8020661430764406,combined_post,3.3183299809868836,pre_change,0.5104415093305257,recovered,True,0.0,recovered,True,0.11800000000000033,80.72380952380952,0.34549928419771136,0.5107687596170797,5.984317976910445,0.2709610696936815,0.0,20.000000000000487,0.0,0.0,5.622490524736863,4.4224905247368635,100.0,38.476190476190474,3.276190476190476,,yes,no,not_evaluated,6.245332585360854,0.0
1.0,8.0,pinned_reference,results/franka_compensation_budget/traces/yaw_15__modest_combined__combined__seed_11__online__s1__f8n__diagnostic.npz,15.0,combined,modest_combined,11,online,5250,0.5637574089782442,12.628817270787037,100.0,1.4622182865638889,0.0034824973386839435,0.41185715949624047,0.0,combined_post,0.8005969789974078,pre_change,1.7972329659155355,pre_change,0.5104415093305257,recovered,True,0.0,recovered,True,0.0,80.72380952380952,0.34549928419771136,0.6671152918259303,7.979090635880593,0.2709610696936815,0.0,20.000000000000487,0.0,0.0,5.641899403411826,4.441899403411827,100.0,11.161904761904761,3.276190476190476,,yes,no,not_evaluated,8.152232087500304,1.994772658970148
2.0,6.0,executed,traces/dynamic__yaw15__combined__s2__f6n.npz,15.0,combined,modest_combined,11,online,5250,0.5652837543930187,12.550264155274839,100.0,2.416871908707136,0.004080995117175864,0.21686690757590757,0.0,combined_post,0.8070796010845682,combined_post,3.308639070527286,pre_change,0.2752549848990579,recovered,True,0.0,recovered,True,0.09600000000000009,80.74285714285713,0.3447998887115979,0.5101763063835753,5.984317976910445,0.2774512876793367,0.0,20.00000000000037,0.0,0.0,5.627361165023302,4.427361165023303,100.0,38.59047619047619,3.219047619047619,,yes,no,not_evaluated,6.237524547051268,0.0
2.0,8.0,executed,traces/dynamic__yaw15__combined__s2__f8n.npz,15.0,combined,modest_combined,11,online,5250,0.5645337644755343,12.550264155274839,100.0,1.5010559474158753,0.003686706417490392,0.22179568540069602,0.0,combined_post,0.8063364435884268,pre_change,1.842969399870054,pre_change,0.2752549848990579,recovered,True,0.0,recovered,True,0.0,80.74285714285713,0.3447998887115979,0.6663626267718096,7.979090635880593,0.2774512876793367,0.0,20.00000000000037,0.0,0.0,5.647185642193477,4.447185642193478,100.0,11.238095238095239,3.219047619047619,,yes,no,not_evaluated,8.144183387346857,1.994772658970148
1.0,6.0,pinned_reference,results/franka_compensation_budget/traces/yaw_15__modest_combined__no_bias__seed_11__online__s1__f6n__diagnostic.npz,15.0,no_bias,modest_combined,11,online,5250,0.2575811987050503,12.628817270787037,100.0,2.907671060054525,0.004509210478880527,0.39858550431177336,0.0,combined_post,0.3834991933778107,combined_post,4.183927734058911,pre_change,0.5104415093305257,recovered,True,0.0,recovered,True,0.484,80.74285714285713,0.34549928419771136,0.511493616006343,5.984317976910445,0.2999999999999947,0.0,20.000000000000487,0.0,0.0,5.352592768625452,4.1525927686254525,100.0,39.50476190476191,3.2380952380952377,,yes,no,not_evaluated,6.253594222235784,0.0
1.0,8.0,pinned_reference,results/franka_compensation_budget/traces/yaw_15__modest_combined__no_bias__seed_11__online__s1__f8n__diagnostic.npz,15.0,no_bias,modest_combined,11,online,5250,0.2601836581079021,12.628817270787037,100.0,1.5978484635802759,0.0037167466371877877,0.40776142614586675,0.0,combined_post,0.38816535055150886,pre_change,1.7972329659155355,pre_change,0.5104415093305257,recovered,True,0.0,recovered,True,0.0,80.26666666666667,0.34549928419771136,0.6716853564729908,7.979090635880593,0.2999999999999947,0.0,20.000000000000487,0.0,0.0,5.3751710418699155,4.175171041869916,100.0,15.104761904761904,3.257142857142857,,yes,no,not_evaluated,8.215584681999939,1.994772658970148
2.0,6.0,executed,traces/dynamic__yaw15__no_bias__s2__f6n.npz,15.0,no_bias,modest_combined,11,online,5250,0.26236629899949365,12.605500554695887,100.0,2.9234701617553607,0.0046449300112464615,0.2144110020026998,0.0,combined_post,0.39015831129512013,combined_post,4.172618096479189,pre_change,0.2752549848990579,recovered,True,0.0,recovered,True,0.40000000000000036,80.76190476190476,0.3447998887115979,0.5108114845163836,5.984317976910445,0.2999999999999947,0.0,20.00000000000037,0.0,0.0,5.35753726353977,4.157537263539771,100.0,39.523809523809526,3.2,,yes,no,not_evaluated,6.2445413970641885,0.0
2.0,8.0,executed,traces/dynamic__yaw15__no_bias__s2__f8n.npz,15.0,no_bias,modest_combined,11,online,5250,0.26556087536264594,12.58843280964967,100.0,1.6350619190589977,0.003919204639375688,0.21975597017417348,0.0,combined_post,0.3958529075558215,pre_change,1.842969399870054,pre_change,0.2752549848990579,recovered,True,0.0,recovered,True,0.0,80.28571428571428,0.3447998887115979,0.6715378467878945,7.979090635880593,0.2999999999999947,0.0,20.00000000000037,0.0,0.0,5.380273587439583,4.180273587439584,100.0,15.123809523809523,3.219047619047619,,yes,no,not_evaluated,8.213985417604604,1.994772658970148
