surface_yaw_deg,variant,case,arm,simulation_seed,rotation_gain_scale,window,window_start_s,window_end_s,dt_s,sample_count,moving_sample_count,undefined_direction_sample_count,controller_yaw_error_deg,tangent_rmse_mm,tangent_velocity_error_rms_m_s,tangent_p95_error_mm,window_peak_tangent_error_mm,tangent_error_above_threshold_fraction,tangent_error_above_threshold_pct,tangent_threshold_mm,moving_tangent_rmse_mm,along_track_rmse_mm,cross_track_rmse_mm,along_track_mean_mm,rolling_window_s,rolling_window_samples,rolling_window_count,rolling_window_pass_pct,first_qualifying_window_start_s,longest_qualifying_run_window_count,longest_qualifying_run_start_span_s,update_ready_after_compute_pct,coefficient_before_compute_min,coefficient_before_compute_max,coefficient_after_compute_min,coefficient_after_compute_max,coefficient_rate_max_abs_per_s,coefficient_rate_mean_per_s,coefficient_rate_nonzero_pct,window_peak_requested_tangential_force_n,requested_tangential_force_mean_n,window_peak_requested_force_true_normal_component_n,requested_force_true_normal_component_mean_abs_n,window_peak_true_normal_force_n,normal_force_error_rms_n,normal_force_error_mean_n,measured_minus_true_normal_force_mean_n,contact_ratio_pct,contact_force_floor_n,contact_blend_min,contact_blend_full_pct,orientation_error_rms_deg,window_peak_orientation_error_deg,torque_projection_scale_min,torque_projection_pct,actuator_clipped_pct,minimum_torque_headroom_nm,minimum_reserved_torque_headroom_nm,torque_reserve_fraction_each_side,compensation_active_pct,amplitude_capped_pct,slew_limited_pct,window_peak_corrected_force_n,corrected_force_mean_n
0.0,no_bias,modest_combined,online,11,1.0,late_post,10.0,12.0,0.002,1000,1000,0,3.0,4.99659976255133,0.00539920202646938,5.196512958183944,5.203258694377017,1.0,100.0,3.0,4.99659976255133,4.897709738096482,0.9891655617149742,-4.893309043782775,0.25,125,876,0.0,,0,0.0,100.0,0.5091198732339843,0.5091198732339843,0.5091198732339843,0.5091198732339843,0.0,0.0,0.0,5.984317976910444,5.980276415436066,0.3131950037834472,0.2574466402349281,12.581262736958287,0.409337173886128,0.4000112801045505,-0.13116889852938052,100.0,0.5,1.0,100.0,0.24839420079409463,0.334225525982388,1.0,0.0,0.0,5.463344896651407,4.263344896651407,0.05,100.0,100.0,0.0,12.169648494274558,12.05539344415498
0.0,constant_initial_friction,modest_combined,online,11,1.0,post,8.0,12.0,0.002,2000,2000,0,3.0,1.0913425048607823,0.0018161590882676607,1.7843739284101718,1.797959549374709,0.0,0.0,3.0,1.0913425048607823,0.5690555003752651,0.9312380471224656,-0.17334244719636063,0.25,125,1876,100.0,0.0,1876,3.75,100.0,0.2879837056832121,0.37943337553570605,0.2879837056832121,0.37943337553570605,0.11731753629484754,0.009789854053773193,100.0,4.5970739632266024,4.008094813764443,0.23810771191209135,0.16362241813548678,11.5991279746027,0.7382535457859911,-0.7085392125758866,0.9235250247229857,100.0,0.5,1.0,100.0,0.4502431018897755,0.6541641839720297,1.0,0.0,0.0,6.256168525686595,5.056168525686596,0.05,100.0,0.0,0.0,12.19724132592752,12.00153687472691
0.0,constant_initial_friction,modest_combined,online,11,1.0,early_post,8.0,8.5,0.002,250,250,0,3.0,0.3019443579655784,0.0014042191135104746,0.3876851262036456,0.3964586781298808,0.0,0.0,3.0,0.3019443579655784,0.24721591640723597,0.17336287371342193,0.22339367122151993,0.25,125,126,100.0,0.0,126,0.25,100.0,0.3127584674348341,0.3348059083711695,0.3126990553029013,0.3347027866233076,0.08171705236517668,-0.04421370613653642,100.0,4.057386518598975,3.891917463807088,0.19704298304164852,0.19320887640084317,11.290369371241482,0.8775140826786169,-0.8739945806031014,1.1084513496726092,100.0,0.5,1.0,100.0,0.608929623246177,0.6541641839720297,1.0,0.0,0.0,6.794963138543125,5.594963138543125,0.05,100.0,0.0,0.0,12.19724132592752,12.021007831649316
0.0,constant_initial_friction,modest_combined,online,11,1.0,late_post,10.0,12.0,0.002,1000,1000,0,3.0,1.0523218673161423,0.002010513040967038,1.6630181514256608,1.7543878911486774,0.0,0.0,3.0,1.0523218673161423,0.5883624181760057,0.8724740553791932,-0.12189620852416505,0.25,125,876,100.0,0.0,876,1.75,100.0,0.3187062606036757,0.37943337553570605,0.3188324130528449,0.37943337553570605,0.11731753629484754,0.02762953199129331,100.0,4.5970739632266024,4.38906322617758,0.23810771191209135,0.1902540562933447,11.5991279746027,0.5226833696289757,-0.5194925688783231,0.7880779033922729,100.0,0.5,1.0,100.0,0.4217662487958676,0.5376488197699585,1.0,0.0,0.0,6.314979602285505,5.114979602285506,0.05,100.0,0.0,0.0,12.171326231773927,12.05513639709376
15.0,combined,modest_combined,online,11,1.0,post,8.0,12.0,0.002,2000,2000,0,3.0,3.3183299809868836,0.003994381526470877,4.319374158292466,4.338757270406675,0.588,58.8,3.0,3.3183299809868836,3.2511124237663362,0.6645162682347137,-3.087794325709025,0.25,125,1876,43.81663113006397,0.11800000000000033,822,1.6420000000000001,100.0,0.4914994396839499,0.5107687596170797,0.4914994396839499,0.5107687596170797,0.19028403066939648,0.00481732998328245,4.3999999999999995,5.984317976910445,5.979346328894835,0.3131950037834474,0.241092001934539,11.828149804524852,0.8020661430764406,-0.7176613639772822,0.8990547451036495,100.0,0.5,1.0,100.0,0.4311951404836097,0.7750636624852568,1.0,0.0,0.0,5.622490524736863,4.4224905247368635,0.05,100.0,95.6,0.0,12.339245694729273,11.981920896594067
15.0,combined,modest_combined,online,11,1.0,early_post,8.0,8.5,0.002,250,250,0,3.0,2.984862937093692,0.004375150015862132,3.4304212786960724,3.4632780795791525,0.48,48.0,3.0,2.984862937093692,2.803002221701461,1.0259557974748517,-2.790725865259952,0.25,125,126,53.17460317460318,0.11800000000000033,67,0.132,100.0,0.4914994396839499,0.5022394220258487,0.4914994396839499,0.5022394220258487,0.19028403066939648,0.021479964683797648,14.799999999999999,5.984286635324408,5.9818402762070715,0.3128383104121798,0.29729987353209936,11.295461936601718,0.9447308929178593,-0.9392269857049514,1.2610879048817858,100.0,0.5,1.0,100.0,0.7375614279642855,0.7750636624852568,1.0,0.0,0.0,7.470763841986825,6.270763841986826,0.05,100.0,85.2,0.0,12.339245694729273,12.122388434644535
15.0,combined,modest_combined,online,11,1.0,late_post,10.0,12.0,0.002,1000,1000,0,3.0,4.059466499671371,0.004132924378978288,4.330244350789402,4.338757270406675,1.0,100.0,3.0,4.059466499671371,4.00889432770859,0.6387758066959255,-4.001623688816045,0.25,125,876,0.0,,0,0.0,100.0,0.5107687596170797,0.5107687596170797,0.5107687596170797,0.5107687596170797,0.0,0.0,0.0,5.984317976910445,5.980276415436067,0.3131950037834474,0.2574466402349282,11.828149804524852,0.4065242701178752,-0.38783413099667824,0.6253773061343684,100.0,0.5,1.0,100.0,0.3685381411716389,0.48957824860259364,1.0,0.0,0.0,5.622490524736863,4.4224905247368635,0.05,100.0,100.0,0.0,12.227319051468502,12.03807069060539
15.0,no_yaw_error,modest_combined,online,11,1.0,post,8.0,12.0,0.002,2000,2000,0,0.0,3.054629969149166,0.003936463379050218,4.032257937212382,4.3509289228329004,0.457,45.7,3.0,3.054629969149166,3.003638582875566,0.5558052823475967,-2.9742618028558945,0.25,125,1876,54.424307036247335,0.6280000000000001,634,1.266,100.0,0.4870881320188361,0.5117364940714787,0.4870881320188361,0.5117364940714787,0.2874874577706854,0.006162090513160647,2.85,5.984360762996737,5.979537948173344,2.5152118589881863e-16,8.73754554848912e-17,11.630653162898492,0.7851355215748088,-0.7723718346794584,0.9480922619798833,100.0,0.5,1.0,100.0,0.4352543194748476,0.7809346883425513,1.0,0.0,0.0,5.688958738278698,4.488958738278699,0.05,100.0,97.15,0.0,12.397474362932698,11.972445840711194
15.0,no_yaw_error,modest_combined,online,11,1.0,early_post,8.0,8.5,0.002,250,250,0,0.0,3.947617890805653,0.004715722968497988,4.316686574435067,4.3509289228329004,1.0,100.0,3.0,3.947617890805653,3.8312311392588625,0.9515014289963565,-3.824277481524205,0.25,125,126,0.0,,0,0.0,100.0,0.4870881320188361,0.5019847885903603,0.4870881320188361,0.5019847885903603,0.2874874577706854,0.02979331314304845,12.0,5.98432940970301,5.982295643796251,2.429026638500961e-16,1.085290074536712e-16,11.630653162898492,0.6091372593996616,-0.6012334143141831,0.9585027741941331,100.0,0.5,1.0,100.0,0.7417932660627972,0.7809346883425513,1.0,0.0,0.0,7.413007399186151,6.213007399186152,0.05,100.0,88.0,0.0,12.397474362932698,12.153994773290721
15.0,no_yaw_error,modest_combined,online,11,1.0,late_post,10.0,12.0,0.002,1000,1000,0,0.0,3.0496316884102455,0.003775178014960194,3.261607065268131,3.268608783673123,0.54,54.0,3.0,3.0496316884102455,3.0001606012649598,0.5470738538564978,-2.997876252991731,0.25,125,876,44.178082191780824,0.9779999999999998,387,0.772,100.0,0.5117364940714787,0.5117364940714787,0.5117364940714787,0.5117364940714787,0.0,0.0,0.0,5.984360762996737,5.980311884307384,2.5152118589881863e-16,9.470948053145029e-17,11.529542751288206,0.7265327863124048,-0.7184144018559696,0.9436133700192743,100.0,0.5,1.0,100.0,0.37566989620347924,0.5043757052194184,1.0,0.0,0.0,5.688958738278698,4.488958738278699,0.05,100.0,100.0,0.0,12.246578189868249,12.021924381574074
