case,arm,simulation_seed,paired_baseline_seed,controller_yaw_error_deg,sample_count,force_rmse_n,peak_force_n,contact_ratio_pct,tangent_rmse_mm,tangent_velocity_error_rms_m_s,orientation_rmse_deg,saturation_pct,worst_force_phase,worst_phase_force_rmse_n,worst_tangent_phase,worst_phase_tangent_rmse_mm,worst_orientation_phase,worst_phase_orientation_rmse_deg,force_recovery_status,force_recovered,force_recovery_time_s,tangent_recovery_status,tangent_recovered,tangent_recovery_time_s,tangential_update_ready_pct,coefficient_min,coefficient_max,max_requested_tangential_force_n,compensation_limit_observed,max_normal_operation_coefficient_rate_s,max_coefficient_reset_jump,max_normal_operation_force_slew_n_s,max_force_reset_jump_n,paired_force_rmse_increase_n,paired_orientation_rmse_increase_deg,paired_friction_force_rmse_increase_n,paired_friction_orientation_rmse_increase_deg,failed_gates,all_gates_pass
static_high_friction,friction,11,11,0.0,5250,0.12113983511305493,12.613372486618756,100.0,6.4676801308081355,0.00910068303265766,0.16054782280134833,0.0,steady,0.12113983511305493,steady,6.4676801308081355,steady,0.16054782280134833,not_applicable,,,not_applicable,,,0.0,0.45,0.45,5.645622925473557,False,0.0,0.0,69.521714688637,0.0,-0.0004948552382512406,0.008397128646906477,0.0,0.0,,yes
static_high_friction,online,11,11,0.0,5250,0.12251155291273501,12.647810162039217,100.0,5.346616244761792,0.007718833073891041,0.16334602307495935,0.0,steady,0.12251155291273501,steady,5.346616244761792,steady,0.16334602307495935,not_applicable,,,not_applicable,,,99.6952380952381,0.45,0.5099894723907104,5.984360762996737,False,0.30000000000002247,0.0,20.000000000000412,0.0,0.00087686256142884,0.0111953289205175,0.0013717177996800806,0.0027982002736110234,,yes
static_high_friction,baseline,29,29,0.0,5250,0.11676514216868379,12.59310481658304,100.0,15.563990890620397,0.021010194369807802,0.152126687319027,0.0,steady,0.11676514216868379,steady,15.563990890620397,steady,0.152126687319027,not_applicable,,,not_applicable,,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.000625728484049376,-0.008446043278254795,,yes
static_high_friction,integral,29,29,0.0,5250,0.131109942405795,12.663556131834053,100.0,10.052034669100475,0.015986148140534544,0.19272450974900435,0.0,steady,0.131109942405795,steady,10.052034669100475,steady,0.19272450974900435,not_applicable,,,not_applicable,,,0.0,0.45,0.45,6.000000000000002,True,0.0,0.0,12.436439369389621,0.0,0.014344800237111197,0.04059782242997734,0.014970528721160573,0.03215177915172254,,yes
static_high_friction,friction,29,29,0.0,5250,0.11613941368463442,12.588512290764491,100.0,6.449203197312248,0.009094993821996513,0.1605727305972818,0.0,steady,0.11613941368463442,steady,6.449203197312248,steady,0.1605727305972818,not_applicable,,,not_applicable,,,0.0,0.45,0.45,5.637820997413308,False,0.0,0.0,68.23571902799222,0.0,-0.000625728484049376,0.008446043278254795,0.0,0.0,,yes
static_high_friction,online,29,29,0.0,5250,0.117739714814067,12.59986153716677,100.0,5.327076820105587,0.007714700363103939,0.16336006806063874,0.0,steady,0.117739714814067,steady,5.327076820105587,steady,0.16336006806063874,not_applicable,,,not_applicable,,,99.6952380952381,0.45,0.508786299181022,5.984360762996737,False,0.30000000000002247,0.0,20.00000000000033,0.0,0.0009745726453832121,0.011233380741611732,0.001600301129432588,0.002787337463356937,,yes
friction_step_up,baseline,11,11,0.0,5250,0.15533173174956738,12.626419616146608,100.0,12.748051542429058,0.017261425209623576,0.19495214023067542,0.0,pre_step,0.16221413585255998,post_step,15.530782583510007,pre_step,0.24593725141119122,recovered,True,0.0,not_recovered,False,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.017851657701332263,-0.01206338838261628,,yes
friction_step_up,integral,11,11,0.0,5250,0.16207539229112716,12.665230985342115,100.0,8.145920535585287,0.013299632291138777,0.229482485100551,0.0,pre_step,0.16998093247758417,post_step,9.792182349522704,pre_step,0.2832013547638006,recovered,True,0.0,not_recovered_with_limit_active,False,,0.0,0.45,0.45,6.000000000000002,True,0.0,0.0,10.181407335762605,0.0,0.006743660541559782,0.03453034486987558,0.024595318242892045,0.0224669564872593,,yes
friction_step_up,friction,11,11,0.0,5250,0.13748007404823512,12.681197359169499,100.0,5.437729181829754,0.009244266879847371,0.2070155286132917,0.0,post_step,0.1417593728896389,post_step,6.3762665918723,pre_step,0.2597797333784329,recovered,True,0.0,not_recovered,False,,0.0,0.45,0.45,5.635460984025915,False,0.0,0.0,69.51769013804703,0.0,-0.017851657701332263,0.01206338838261628,0.0,0.0,,yes
friction_step_up,online,11,11,0.0,5250,0.1453558280922177,12.667927627150771,100.0,4.291059085015489,0.00837773397224738,0.20682273724993336,0.0,post_step,0.14786174340599295,post_step,5.540956385965357,pre_step,0.25721041408181244,recovered,True,0.0,not_recovered,False,,99.12380952380953,0.3037538247066072,0.5102254252592393,5.984360762996737,False,0.30000000000002247,0.0,20.00000000000045,0.0,-0.009975903657349683,0.011870597019257939,0.00787575404398258,-0.00019279136335834113,,yes
