profile,arm,case_index,scenario,simulation_seed,controller_yaw_deg,wall_yaw_deg,wall_time_constant_s,tool_mass_kg,has_raw_contact,force_rmse_n,peak_force_n,tangent_rmse_mm,contact_ratio_pct,saturation_pct,orientation_rmse_deg,measurement_rmse_n,seconds_over_35_n,first_raw_contact_time_s,max_geometric_separation_um,mean_true_tangent_force_n,median_true_friction_ratio,legacy_metric_max_abs_error,repair_pass,failed_repair_checks
legacy,surface_exact,8,surface_dev_08,11,0.0,0.0,0.005,0.1,True,11.83853319696042,32.29268033899436,11.771366271236149,52.800000000000004,0.0,0.41021949673490665,12.354135805668042,0.0,0.5740000000000001,45.315146678291676,5.428345669522062,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,surface_exact,9,surface_dev_09,29,0.0,0.0,0.005,0.1,True,11.822669140322876,32.34074138278787,11.766735222458541,52.800000000000004,0.0,0.4105927024007872,12.33882202783909,0.0,0.5740000000000001,45.54440768497064,5.419893986688273,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,surface_exact,10,surface_dev_10,11,0.0,0.0,0.005,0.13,True,11.921838699755298,32.32360841135715,11.77414011978834,52.46666666666666,0.0,0.41033081008754746,12.436723445989875,0.0,0.5740000000000001,45.06739611211813,5.429290422923446,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,surface_exact,11,surface_dev_11,29,0.0,0.0,0.005,0.13,True,11.912453260696454,32.33579894157944,11.769714103487576,52.400000000000006,0.0,0.41067327370170736,12.426993226214627,0.0,0.5740000000000001,39.774209151598185,5.41598491361063,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,surface_exact,12,surface_dev_12,11,0.0,0.0,0.012,0.1,True,10.13358051677812,25.863289856510402,11.771349928704952,60.0,0.0,0.410366393581942,10.571038536541998,0.0,0.5740000000000001,40.94797529032718,5.42834813983786,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,surface_exact,13,surface_dev_13,29,0.0,0.0,0.012,0.1,True,10.124337041260533,26.53225059797655,11.767357332808535,59.93333333333334,0.0,0.41077979690181804,10.564246866510427,0.0,0.5740000000000001,39.83273401760717,5.416851465204516,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,surface_exact,14,surface_dev_14,11,0.0,0.0,0.012,0.13,True,10.211992021729465,27.27775192711746,11.77413612432791,59.66666666666667,0.0,0.4105006823765623,10.648051271457273,0.0,0.5740000000000001,37.75662101720284,5.430545610653817,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,surface_exact,15,surface_dev_15,29,0.0,0.0,0.012,0.13,True,10.210098789283377,26.147381031463173,11.77036409337089,59.53333333333334,0.0,0.4107936307445165,10.645902915152263,0.0,0.5740000000000001,40.510440728856736,5.413074035603463,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,surface_exact,16,surface_dev_16,11,15.0,15.0,0.005,0.1,True,11.73565361354483,34.05502822172508,11.812969143187049,53.06666666666666,0.0,0.3812284319153614,12.246248129239158,0.0,0.544,46.863090771401964,5.398736437382373,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,surface_exact,17,surface_dev_17,29,15.0,15.0,0.005,0.1,True,11.716988337676431,33.99562142452323,11.805989241091234,53.06666666666666,0.0,0.3816562935148594,12.22769768265482,0.0,0.544,44.21780965463765,5.389967205025169,0.45,0.0,no,contact_ratio;raw_force_rmse
