arm,case_index,contact_in_both_profiles,force_rmse_n,peak_force_n,tangent_rmse_mm,contact_ratio_pct,saturation_pct,orientation_rmse_deg,measurement_rmse_n,seconds_over_35_n,first_raw_contact_time_s,max_geometric_separation_um,mean_true_tangent_force_n,median_true_friction_ratio
surface_minus5,12,True,-9.58896955273132,-13.77582525838239,0.03670286215269769,39.93333333333333,0.0,0.015714156967012394,-10.135027251562398,0.0,0.0,-38.51808477885882,0.007299826016183175,0.0
surface_minus5,13,True,-9.580186132988711,-13.766257016236544,0.03312286476429449,39.93333333333333,0.0,0.015743260317718444,-10.11863857688842,0.0,0.0,-42.07828451976287,0.003711125349968647,0.0
surface_minus5,14,True,-9.658096090118494,-14.171776843386263,0.03704955362110596,40.2,0.0,0.01570850435054072,-10.202019230288625,0.0,0.0,-38.9862688990536,0.0034762579329568055,0.0
surface_minus5,15,True,-9.655544840652022,-13.828099629684473,0.033166400894309334,40.33333333333333,0.0,0.015689496688849947,-10.196064568438658,0.0,0.0,-36.697562816899456,0.005573840235615357,0.0
surface_minus5,16,True,-11.113949619762568,-20.366526217303235,0.04821684129680115,46.733333333333334,0.0,0.014721210033145582,-11.774112058307932,0.0,0.0,-49.653057307665755,0.01281774988011719,0.0
surface_minus5,17,True,-11.11520141160557,-19.171198468110397,0.04591312490707011,46.733333333333334,0.0,0.014811789279680465,-11.76774025227942,0.0,0.0,-45.61165927071883,0.009753268382618252,0.0
surface_minus5,18,True,-11.215812406016312,-19.347722860169327,0.04845903379665373,47.13333333333334,0.0,0.014783822977773697,-11.875530579428393,0.0,0.0,-45.16944327571937,0.012706864613369007,0.0
surface_minus5,19,True,-11.193875999622898,-19.264110154588785,0.046172580852422485,47.13333333333334,0.0,0.01467235992766902,-11.85037334147334,0.0,0.0,-46.26646104788357,0.0076561788021027866,0.0
surface_minus5,20,True,-9.44304555992916,-13.53521095698458,0.05218701297309458,39.666666666666664,0.0,0.014882852524052748,-10.026873235373275,0.0,0.0,-41.14260812551965,0.01171401835395347,0.0
surface_minus5,21,True,-9.441146838123554,-13.921366501707876,0.05063233015055246,39.733333333333334,0.0,0.014876510624121542,-10.019613158374941,0.0,0.0,-36.4519801322391,0.013692614447302631,0.0
