method,case,simulation_seed,wall_time_constant_s,wall_sliding_friction,wall_yaw_deg,position_noise_std_m,force_noise_std_n,force_bias_n,measurement_delay_ms,bias_compensation_scale,controller,scenario,force_rmse_n,peak_force_n,tangent_rmse_mm,orientation_rmse_deg,contact_ratio_pct,torque_rms_nm,saturation_pct,controller_p95_us,gate_pass,failed_checks
bounded_residual_rl,holdout_05,34,0.004329841151866968,0.7550288810808472,-4.069487536027664,0.0005267442567294029,0.26547273761889845,1.3354843480886984,6,1.1120314608901594,residual_rl,holdout_05,1.5444072826963036,41.9321747021062,15.008562444015784,3.763623804529504,100.0,23.380534340081443,0.0,165.51255,no,peak_force;tangent_rmse
fixed_hybrid,holdout_06,35,0.010850876669958499,0.6500560053398408,4.01469302828564,0.00014513630092451084,0.22771369297305627,-1.3674547650228992,22,0.9885558700716888,hybrid,holdout_06,1.7092656459208933,38.52458926377475,13.085710119197742,0.5625581441841867,100.0,23.83047280711213,0.0,83.14984999999997,no,peak_force
adaptive_hybrid,holdout_06,35,0.010850876669958499,0.6500560053398408,4.01469302828564,0.00014513630092451084,0.22771369297305627,-1.3674547650228992,22,0.9885558700716888,adaptive_hybrid,holdout_06,1.1654638312296555,35.36966636028449,9.928920541668194,0.543720978535864,100.0,23.89211185468658,0.0,134.61325,no,peak_force
bounded_residual_rl,holdout_06,35,0.010850876669958499,0.6500560053398408,4.01469302828564,0.00014513630092451084,0.22771369297305627,-1.3674547650228992,22,0.9885558700716888,residual_rl,holdout_06,1.3194090011377617,38.073306310472425,8.321847445510883,0.5327226881247608,100.0,23.906433801429372,0.0,162.41049999999998,no,peak_force
fixed_hybrid,holdout_07,36,0.005775239441145751,0.8347406968132027,5.554133726077115,0.0007948949575496861,0.7104807389146679,-0.13878949538921614,16,0.9409667013606293,hybrid,holdout_07,1.3758159913742072,44.64614144290521,13.211047373666698,2.5343377936791662,100.0,22.823305170956687,0.0,83.23049999999999,no,peak_force
adaptive_hybrid,holdout_07,36,0.005775239441145751,0.8347406968132027,5.554133726077115,0.0007948949575496861,0.7104807389146679,-0.13878949538921614,16,0.9409667013606293,adaptive_hybrid,holdout_07,1.451202427348028,47.899711718769915,10.955754193415538,2.5295812589176765,100.0,22.945024963105666,0.0,132.135,no,peak_force
bounded_residual_rl,holdout_07,36,0.005775239441145751,0.8347406968132027,5.554133726077115,0.0007948949575496861,0.7104807389146679,-0.13878949538921614,16,0.9409667013606293,residual_rl,holdout_07,1.4920026108367277,46.45056557689824,9.77657477675507,2.524463829875815,100.0,22.884593479096814,0.0,164.7419,no,peak_force
fixed_hybrid,holdout_08,37,0.00982911386153934,0.2807837770066979,-5.107672956475939,0.00025173379540567494,0.462554542753679,-1.0730099198598082,28,0.8709497582448247,hybrid,holdout_08,1.673250955854095,66.30026778394513,8.676837896336123,5.623524744188839,100.0,26.27206784259214,4.133333333333333,87.0377,no,peak_force;saturation
adaptive_hybrid,holdout_08,37,0.00982911386153934,0.2807837770066979,-5.107672956475939,0.00025173379540567494,0.462554542753679,-1.0730099198598082,28,0.8709497582448247,adaptive_hybrid,holdout_08,2.5775903448832924,68.74155927816373,7.36619981907524,5.610126381278666,100.0,26.516961970176737,5.2,139.0249,no,force_rmse;peak_force;saturation
bounded_residual_rl,holdout_08,37,0.00982911386153934,0.2807837770066979,-5.107672956475939,0.00025173379540567494,0.462554542753679,-1.0730099198598082,28,0.8709497582448247,residual_rl,holdout_08,1.7785876032297827,68.74155927816373,10.288971558921656,5.613156562281745,100.0,26.991456616836874,6.622222222222223,169.66619999999995,no,peak_force;saturation
fixed_hybrid,holdout_09,38,0.0067492503516062815,0.732476200287592,-3.9905177581079503,0.0001308930464124832,0.27176932951753907,-1.1929227630961168,30,1.0182472782418066,hybrid,holdout_09,1.8436342990650694,43.109800479227175,16.10517684703102,0.731019927379011,100.0,23.428269719419895,0.0,84.39975,no,peak_force;tangent_rmse
adaptive_hybrid,holdout_09,38,0.0067492503516062815,0.732476200287592,-3.9905177581079503,0.0001308930464124832,0.27176932951753907,-1.1929227630961168,30,1.0182472782418066,adaptive_hybrid,holdout_09,1.3932551953005146,41.03157258099494,12.027991232010192,0.787289017171394,100.0,23.584363154738746,0.0,128.9472,no,peak_force
bounded_residual_rl,holdout_09,38,0.0067492503516062815,0.732476200287592,-3.9905177581079503,0.0001308930464124832,0.27176932951753907,-1.1929227630961168,30,1.0182472782418066,residual_rl,holdout_09,1.7591482676311432,49.48845969071747,9.49332624573653,1.1747961876766198,100.0,24.388193986649636,0.9777777777777777,162.816,no,peak_force
fixed_hybrid,holdout_10,39,0.00982630884126916,0.666616345924397,5.3310214712878405,0.00048781626668859847,0.5042652900297321,0.7041997035490137,24,0.9536146153905953,hybrid,holdout_10,1.3697054547226084,43.62415754065403,9.81340360061096,1.859993601833125,100.0,23.680197229170332,0.0,81.99340000000001,no,peak_force
adaptive_hybrid,holdout_10,39,0.00982630884126916,0.666616345924397,5.3310214712878405,0.00048781626668859847,0.5042652900297321,0.7041997035490137,24,0.9536146153905953,adaptive_hybrid,holdout_10,1.2886325843947157,42.75551757949488,8.788418567059997,1.880248365180716,100.0,23.772018361259143,0.0,128.56419999999997,no,peak_force
bounded_residual_rl,holdout_10,39,0.00982630884126916,0.666616345924397,5.3310214712878405,0.00048781626668859847,0.5042652900297321,0.7041997035490137,24,0.9536146153905953,residual_rl,holdout_10,1.2887493679859754,42.75551757949488,8.043305528211341,1.870548466479886,100.0,23.792587718682256,0.0,159.9312,no,peak_force
fixed_hybrid,holdout_11,40,0.014969684083365263,0.4538734100734594,-1.3630959346174638,0.0002974728909451579,0.47077517516026834,-0.53719147386343,8,1.1331166766158614,hybrid,holdout_11,1.189851107208416,26.648017478281872,18.9888133638516,4.549395192215337,100.0,24.942074134905273,0.0,86.25524999999999,no,tangent_rmse
adaptive_hybrid,holdout_11,40,0.014969684083365263,0.4538734100734594,-1.3630959346174638,0.0002974728909451579,0.47077517516026834,-0.53719147386343,8,1.1331166766158614,adaptive_hybrid,holdout_11,1.4376408503205413,28.205088749075614,15.300030498993218,4.559878858933786,100.0,25.15477138848224,0.0,133.47764999999998,no,tangent_rmse
bounded_residual_rl,holdout_11,40,0.014969684083365263,0.4538734100734594,-1.3630959346174638,0.0002974728909451579,0.47077517516026834,-0.53719147386343,8,1.1331166766158614,residual_rl,holdout_11,1.592713138592627,28.024206599266964,11.774910390139652,4.576836642339823,100.0,25.26813658546705,0.0,166.8414,yes,
fixed_hybrid,holdout_12,41,0.010640782781492502,0.5387029748135748,-4.348669535769859,0.0004918482456392485,0.4335114805682425,0.9630516868761365,4,0.8952376783847449,hybrid,holdout_12,1.6829964289342607,32.789938759177566,8.418435479848599,4.388664585617025,100.0,24.236350977247213,0.0,86.88985,yes,
adaptive_hybrid,holdout_12,41,0.010640782781492502,0.5387029748135748,-4.348669535769859,0.0004918482456392485,0.4335114805682425,0.9630516868761365,4,0.8952376783847449,adaptive_hybrid,holdout_12,1.5083215451543657,33.76204584339309,7.3909158013306735,4.4003454466089424,100.0,24.25156587713493,0.0,128.07064999999997,yes,
bounded_residual_rl,holdout_12,41,0.010640782781492502,0.5387029748135748,-4.348669535769859,0.0004918482456392485,0.4335114805682425,0.9630516868761365,4,0.8952376783847449,residual_rl,holdout_12,1.2718511267326844,34.334412190711916,9.376622811432098,4.395017897724434,100.0,24.362362127051394,0.0,181.1577,yes,
fixed_hybrid,holdout_13,42,0.004157095490031035,0.8957446222385741,4.047690016362196,0.0007000918838106252,0.25450082054136514,-1.288538244614735,6,1.13963904666548,hybrid,holdout_13,1.9268643985689178,44.719833798191786,29.162480995373542,4.411443228254938,100.0,22.46415160999633,0.0,83.27205,no,peak_force;tangent_rmse
adaptive_hybrid,holdout_13,42,0.004157095490031035,0.8957446222385741,4.047690016362196,0.0007000918838106252,0.25450082054136514,-1.288538244614735,6,1.13963904666548,adaptive_hybrid,holdout_13,1.6506248638763352,47.58006012481914,22.81488638801699,4.455982008483452,100.0,22.630834530896664,0.0,125.9039,no,peak_force;tangent_rmse
bounded_residual_rl,holdout_13,42,0.004157095490031035,0.8957446222385741,4.047690016362196,0.0007000918838106252,0.25450082054136514,-1.288538244614735,6,1.13963904666548,residual_rl,holdout_13,1.744973832317316,47.59845272430794,18.863602349757265,4.460964982187657,100.0,22.57345583716973,0.0,171.2011,no,peak_force;tangent_rmse
fixed_hybrid,holdout_14,43,0.01854056894410609,0.7193499246436468,0.5628921425678559,0.0005233768268621513,0.6359676426208379,0.1195877433433643,30,0.9082546288739861,hybrid,holdout_14,1.9097168557685964,59.95894250243375,9.182170771182646,4.2649002859626615,100.0,27.273762969738396,12.533333333333333,80.25245,no,peak_force;saturation
adaptive_hybrid,holdout_14,43,0.01854056894410609,0.7193499246436468,0.5628921425678559,0.0005233768268621513,0.6359676426208379,0.1195877433433643,30,0.9082546288739861,adaptive_hybrid,holdout_14,1.8711283829283087,58.371982740763976,7.6107585292479785,4.252115151824673,100.0,27.45336386832231,12.88888888888889,122.7826,no,peak_force;saturation
bounded_residual_rl,holdout_14,43,0.01854056894410609,0.7193499246436468,0.5628921425678559,0.0005233768268621513,0.6359676426208379,0.1195877433433643,30,0.9082546288739861,residual_rl,holdout_14,2.1316241875163073,58.371982740763976,7.922423971062867,4.319298674964105,100.0,28.24937049510429,15.911111111111111,160.31550000000001,no,force_rmse;peak_force;saturation
fixed_hybrid,holdout_15,44,0.011166048262322805,0.6945140930554135,-4.046547879116723,0.0002313423061539127,0.12481244607448694,0.9919835450505747,22,0.9206349173180775,hybrid,holdout_15,1.697820170130629,41.89671068516991,9.232634929304648,3.301878171657,100.0,23.539076449150592,0.0,88.40905,no,peak_force
adaptive_hybrid,holdout_15,44,0.011166048262322805,0.6945140930554135,-4.046547879116723,0.0002313423061539127,0.12481244607448694,0.9919835450505747,22,0.9206349173180775,adaptive_hybrid,holdout_15,1.360978352753633,40.076109860814896,8.2475520135326,3.3216127463535012,100.0,23.592282940878615,0.0,139.4706,no,peak_force
bounded_residual_rl,holdout_15,44,0.011166048262322805,0.6945140930554135,-4.046547879116723,0.0002313423061539127,0.12481244607448694,0.9919835450505747,22,0.9206349173180775,residual_rl,holdout_15,1.3420301623066335,40.076109860814896,8.628059329009044,3.3198661311882893,100.0,23.626716575978264,0.0,162.3357,no,peak_force
fixed_hybrid,holdout_16,45,0.009310201960475613,0.7114338282401711,-5.222862059022385,6.506375126759876e-05,0.5732979036975542,0.6743544537804169,10,0.8589360306107799,hybrid,holdout_16,2.3865735824913106,38.86187007770122,10.097025649857997,6.302036092862577,100.0,23.406568037379934,0.0,87.41434999999998,no,force_rmse;peak_force
adaptive_hybrid,holdout_16,45,0.009310201960475613,0.7114338282401711,-5.222862059022385,6.506375126759876e-05,0.5732979036975542,0.6743544537804169,10,0.8589360306107799,adaptive_hybrid,holdout_16,3.0914811226950056,40.03299889374034,8.228081527797626,6.269338114065756,100.0,23.438271265624046,0.0,134.6088,no,force_rmse;peak_force
bounded_residual_rl,holdout_16,45,0.009310201960475613,0.7114338282401711,-5.222862059022385,6.506375126759876e-05,0.5732979036975542,0.6743544537804169,10,0.8589360306107799,residual_rl,holdout_16,2.3327537885375222,39.94127113686048,10.408567356146087,6.280211543318339,100.0,23.457573917662543,0.0,162.98845,no,force_rmse;peak_force
fixed_hybrid,holdout_17,46,0.009743640986772654,0.8866075082684333,0.6371099749438853,7.43792101667438e-05,0.45680935956982627,0.09021106106156429,18,1.0589438236561173,hybrid,holdout_17,1.2014212733321463,37.96687308609362,20.861090676451564,2.016145745853439,100.0,22.613470663109283,0.0,91.24974999999999,no,peak_force;tangent_rmse
adaptive_hybrid,holdout_17,46,0.009743640986772654,0.8866075082684333,0.6371099749438853,7.43792101667438e-05,0.45680935956982627,0.09021106106156429,18,1.0589438236561173,adaptive_hybrid,holdout_17,1.3824803019025365,39.08813488124205,16.96892567731066,2.0192926882330147,100.0,22.73824769130491,0.0,144.73989999999998,no,peak_force;tangent_rmse
bounded_residual_rl,holdout_17,46,0.009743640986772654,0.8866075082684333,0.6371099749438853,7.43792101667438e-05,0.45680935956982627,0.09021106106156429,18,1.0589438236561173,residual_rl,holdout_17,1.358140830263799,39.354772480399156,13.613968168837363,2.0146457278574115,100.0,22.668687234974566,0.0,165.31004999999996,no,peak_force
fixed_hybrid,holdout_18,47,0.01230453192756822,0.6203887126328989,1.405364074235118,0.00021522995307741706,0.34153579252982763,-0.5376611354357526,18,1.0240419372673168,hybrid,holdout_18,1.282771666224661,32.870725272929384,14.005886314928986,0.9904971629379611,100.0,23.994251886982305,0.0,88.56360000000001,yes,
adaptive_hybrid,holdout_18,47,0.01230453192756822,0.6203887126328989,1.405364074235118,0.00021522995307741706,0.34153579252982763,-0.5376611354357526,18,1.0240419372673168,adaptive_hybrid,holdout_18,1.2275923615256776,33.23853175850817,11.179079906208718,1.0093738406387955,100.0,24.072158048914822,0.0,143.7214,yes,
bounded_residual_rl,holdout_18,47,0.01230453192756822,0.6203887126328989,1.405364074235118,0.00021522995307741706,0.34153579252982763,-0.5376611354357526,18,1.0240419372673168,residual_rl,holdout_18,1.2836198036592825,33.98938093955317,8.902740236634214,1.0144867414564813,100.0,24.09052207514492,0.0,171.9701,yes,
fixed_hybrid,holdout_19,48,0.021983869226903076,0.5821221610552461,-2.7175129710933152,0.0005243852311466383,0.4935118762538059,-1.4851830576751444,8,0.9135165642046498,hybrid,holdout_19,1.1047257698211905,27.36605641840125,9.465128563230753,3.5934038538259445,100.0,24.133514080260884,0.0,85.34049999999999,yes,
adaptive_hybrid,holdout_19,48,0.021983869226903076,0.5821221610552461,-2.7175129710933152,0.0005243852311466383,0.4935118762538059,-1.4851830576751444,8,0.9135165642046498,adaptive_hybrid,holdout_19,1.1088933631260494,29.137196667648247,7.789813310001693,3.5753519582039224,100.0,24.158515170474004,0.0,134.24835000000002,yes,
bounded_residual_rl,holdout_19,48,0.021983869226903076,0.5821221610552461,-2.7175129710933152,0.0005243852311466383,0.4935118762538059,-1.4851830576751444,8,0.9135165642046498,residual_rl,holdout_19,1.1586510003592383,29.190769757082503,8.854695483951192,3.563322842534919,100.0,24.226573197706344,0.0,163.13574999999997,yes,
fixed_hybrid,holdout_20,49,0.004909562808591864,0.7632742201993428,-2.0324300455932667,0.0007303451782944099,0.277732943141191,-0.0004159948782582745,0,1.0502093979226927,hybrid,holdout_20,1.349675345426153,45.46739596175176,18.65069740711981,1.7951204697127316,100.0,23.15396950987545,0.0,82.5576,no,peak_force;tangent_rmse
adaptive_hybrid,holdout_20,49,0.004909562808591864,0.7632742201993428,-2.0324300455932667,0.0007303451782944099,0.277732943141191,-0.0004159948782582745,0,1.0502093979226927,adaptive_hybrid,holdout_20,1.4192750346139793,46.79023501359521,15.176524533446575,1.8026616391990495,100.0,23.277605909400773,0.0,153.86025,no,peak_force;tangent_rmse
