scale,method,case_index,scenario,simulation_seed,wall_yaw_deg,wall_time_constant_s,tool_mass_kg,duration_s,has_raw_contact,force_rmse_n,peak_force_n,tangent_rmse_mm,contact_ratio_pct,saturation_pct,orientation_rmse_deg,measurement_rmse_n,seconds_over_35_n,first_raw_contact_time_s,max_penetration_mm,evaluation_median_penetration_mm,projection_pct,max_compensation_force_n,tangent_velocity_error_rms_m_s,minimum_torque_headroom_nm,minimum_reserved_torque_headroom_nm,frozen_metric_max_abs_error,failed_gates,all_gates_pass
1.0,online,10,surface_dev_10,11,0.0,0.005,0.13,4.5,True,0.1628456185507367,12.6377605415699,1.289439743328815,100.0,0.0,0.46392060560370507,0.20867570854310616,0.0,0.5740000000000001,0.7881989087508492,0.6552865068376392,0.0,5.984360762996737,0.00407315049592198,6.043142024098932,4.843142024098933,0.0,,yes
1.0,baseline,11,surface_dev_11,29,0.0,0.005,0.13,4.5,True,0.15001951999270155,12.623602954725857,11.749715569514013,100.0,0.0,0.4256905435815614,0.21505012380788294,0.0,0.5740000000000001,0.7880648169046114,0.6657692279870078,0.0,0.0,0.01795897593535319,6.193540989187465,4.993540989187466,0.0,,yes
1.0,integral,11,surface_dev_11,29,0.0,0.005,0.13,4.5,True,0.16070420906841712,12.622106564812883,8.061084591349957,100.0,0.0,0.5319093848907905,0.21505375434123716,0.0,0.5740000000000001,0.788051126432411,0.641075632809053,0.0,5.175931108143631,0.016940473834222848,6.089614917779601,4.8896149177796016,0.0,,yes
1.0,friction,11,surface_dev_11,29,0.0,0.005,0.13,4.5,True,0.1521894891314334,12.623602954725857,1.7956536408297876,100.0,0.0,0.45051567192305825,0.21435308838842285,0.0,0.5740000000000001,0.7880648169046114,0.6576476903975073,0.0,5.544215662554637,0.003642670276568258,6.070191926363381,4.870191926363382,0.0,,yes
1.0,online,11,surface_dev_11,29,0.0,0.005,0.13,4.5,True,0.1521725050800278,12.623602954725857,1.2821599612213879,100.0,0.0,0.46426490793390734,0.21412046079203864,0.0,0.5740000000000001,0.7880648169046114,0.6556185632117586,0.0,5.984360716642944,0.004121578642625918,6.0543485509361705,4.854348550936171,0.0,,yes
1.0,baseline,12,surface_dev_12,11,0.0,0.012,0.1,4.5,True,0.16537254088790307,12.65162317449773,11.758882210107409,100.0,0.0,0.4257173808377085,0.21032247000802543,0.0,0.5740000000000001,0.8511013179661533,0.7182488017960855,0.0,0.0,0.017936616255812974,6.227330815926989,5.02733081592699,0.0,,yes
1.0,integral,12,surface_dev_12,11,0.0,0.012,0.1,4.5,True,0.17266313741804085,12.650074162213052,8.071892622735874,100.0,0.0,0.5319100660899577,0.21010682852557713,0.0,0.5740000000000001,0.851086451815454,0.6952004367138456,0.0,5.178413005029007,0.01687385026478443,6.123964082428792,4.9239640824287925,0.0,,yes
1.0,friction,12,surface_dev_12,11,0.0,0.012,0.1,4.5,True,0.1651684546838027,12.65162317449773,1.8101725288276476,100.0,0.0,0.45049006423043486,0.20940232070594322,0.0,0.5740000000000001,0.8511013179661533,0.7109998804384412,0.0,5.560666478603819,0.003555996398202097,6.101974565016038,4.9019745650160385,0.0,,yes
1.0,online,12,surface_dev_12,11,0.0,0.012,0.1,4.5,True,0.16457743945692097,12.65162317449773,1.2988553898976065,100.0,0.0,0.46425177698209164,0.20901861841880603,0.0,0.5740000000000001,0.8511013179661533,0.7086380017067087,0.0,5.984360762996737,0.004069369586342313,6.086321879658524,4.886321879658524,0.0,,yes
1.0,baseline,13,surface_dev_13,29,0.0,0.012,0.1,4.5,True,0.15182404096136187,12.628783970392217,11.75104979759688,100.0,0.0,0.4260317742637943,0.21562932954572872,0.0,0.5740000000000001,0.8509045513209537,0.7191005776823813,0.0,0.0,0.01796501442597559,6.236642182847222,5.036642182847222,0.0,,yes
