method,case_index,simulation_seed,wall_yaw_deg,wall_time_constant_s,tool_mass_kg,from_scale,to_scale,force_rmse_n,peak_force_n,tangent_rmse_mm,contact_ratio_pct,saturation_pct,orientation_rmse_deg,measurement_rmse_n,seconds_over_35_n,first_raw_contact_time_s,max_penetration_mm,evaluation_median_penetration_mm,projection_pct,max_compensation_force_n,tangent_velocity_error_rms_m_s,minimum_torque_headroom_nm,minimum_reserved_torque_headroom_nm
friction,2,11,-15.0,0.005,0.13,1.0,2.0,0.0014807044530472102,-0.08266096715348148,0.01852316588455505,0.0,0.0,-0.2613504585790562,-0.0005042021036063826,0.0,0.0040000000000000036,-0.0007802977926471,-0.00020516928870772944,0.0,-0.004066374007048346,0.0002745556897197159,0.010063847260264325,0.010063847260264325
online,2,11,-15.0,0.005,0.13,1.0,2.0,0.003911504306173708,-0.08266096715348148,0.04259808698162382,0.0,0.0,-0.26501095300256144,-0.00029089076720800744,0.0,0.0040000000000000036,-0.0007802977926471,-0.00016459888440945036,0.0,-4.6353792804154637e-08,0.00044042014967534716,0.005636625446954646,0.005636625446954646
baseline,3,29,-15.0,0.005,0.13,1.0,2.0,0.0034811531932092965,-0.08747419150144431,-0.0012465809986252907,0.0,0.0,-0.24856715403107593,-0.00041168234413380134,0.0,0.0020000000000000018,-0.0007974485008132026,0.0003651677978142587,0.0,0.0,0.00014634663173588094,0.0055535455906028375,0.0055535455906028375
integral,3,29,-15.0,0.005,0.13,1.0,2.0,0.005482664025267231,-0.08784454572431954,0.030575058460643234,0.0,0.0,-0.3019446503647391,-0.00038322567904772176,0.0,0.0020000000000000018,-0.0008016973326342436,-7.949494363135301e-05,0.0,-0.0341997415422961,0.00028184712521764355,-0.007247378023870432,-0.007247378023870432
friction,3,29,-15.0,0.005,0.13,1.0,2.0,0.002068307984145701,-0.08747419150144253,0.01914315119261234,0.0,0.0,-0.2614399186935143,-0.0005017372676613119,0.0,0.0020000000000000018,-0.0007974485008132026,-0.00012063515022853188,0.0,0.01982899856557374,0.0002769719505523456,0.010461504052952542,0.010461504052952542
online,3,29,-15.0,0.005,0.13,1.0,2.0,0.004571709187788792,-0.08747419150144253,0.04286951385373583,0.0,0.0,-0.2650833886264581,-0.00026452861167017283,0.0,0.0020000000000000018,-0.0007974485008132026,0.0004440491964564641,0.0,0.0,0.00043947107315861836,0.007307690462155847,0.007307690462155847
baseline,4,11,-15.0,0.012,0.1,1.0,2.0,0.002550187679264404,-0.08444126934340801,-0.00107675220715997,0.0,0.0,-0.2486836059106275,-0.00028154399387514406,0.0,0.0040000000000000036,-0.000876090372754823,0.0002712616626789899,0.0,0.0,0.00014792558410671452,0.0005779706754793779,0.0005779706754793779
integral,4,11,-15.0,0.012,0.1,1.0,2.0,0.004604548914863282,-0.08487379701850806,0.031088511120152873,0.0,0.0,-0.3020896522839315,-0.00015646727584750497,0.0,0.0040000000000000036,-0.0008806767321095643,0.0006522423003312294,0.0,-0.03411753983762278,0.000281830858460258,-0.0016300133168849484,-0.0016300133168849484
friction,4,11,-15.0,0.012,0.1,1.0,2.0,0.0016551177574812004,-0.08444126934340446,0.018892991019938243,0.0,0.0,-0.26152133350444967,-0.0005063291637059653,0.0,0.0040000000000000036,-0.000876090372754823,-0.00011349097703294841,0.0,-0.0036695867477245514,0.00027337255133851567,0.009870442860768769,0.009870442860768769
online,4,11,-15.0,0.012,0.1,1.0,2.0,0.004123022305072249,-0.08444126934340446,0.04308831160090687,0.0,0.0,-0.2651757782605475,-0.0002627005182935238,0.0,0.0040000000000000036,-0.000876090372754823,-0.00017062959333480343,0.0,0.0,0.00044157567858635425,0.005166414321783108,0.005166414321783108
