surface_yaw_deg,variant,case,arm,simulation_seed,rotation_gain_scale,max_force_n,window,window_start_s,window_end_s,dt_s,sample_count,moving_sample_count,undefined_direction_sample_count,controller_yaw_error_deg,tangent_rmse_mm,tangent_velocity_error_rms_m_s,tangent_p95_error_mm,window_peak_tangent_error_mm,tangent_error_above_threshold_fraction,tangent_error_above_threshold_pct,tangent_threshold_mm,moving_tangent_rmse_mm,along_track_rmse_mm,cross_track_rmse_mm,along_track_mean_mm,rolling_window_s,rolling_window_samples,rolling_window_count,rolling_window_pass_pct,first_qualifying_window_start_s,longest_qualifying_run_window_count,longest_qualifying_run_start_span_s,update_ready_after_compute_pct,coefficient_before_compute_min,coefficient_before_compute_max,coefficient_after_compute_min,coefficient_after_compute_max,coefficient_rate_max_abs_per_s,coefficient_rate_mean_per_s,coefficient_rate_nonzero_pct,window_peak_requested_tangential_force_n,requested_tangential_force_mean_n,window_peak_requested_force_true_normal_component_n,requested_force_true_normal_component_mean_abs_n,window_peak_true_normal_force_n,normal_force_error_rms_n,normal_force_error_mean_n,measured_minus_true_normal_force_mean_n,contact_ratio_pct,contact_force_floor_n,contact_blend_min,contact_blend_full_pct,orientation_error_rms_deg,window_peak_orientation_error_deg,torque_projection_scale_min,torque_projection_pct,actuator_clipped_pct,minimum_torque_headroom_nm,minimum_reserved_torque_headroom_nm,torque_reserve_fraction_each_side,compensation_active_pct,amplitude_capped_pct,slew_limited_pct,window_peak_corrected_force_n,corrected_force_mean_n
0.0,combined,modest_combined,online,11,1.0,6.0,post,8.0,12.0,0.002,2000,2000,0,3.0,3.2627450602066217,0.003970305738081095,4.1985206147442575,4.216520407448317,0.5505,55.05,3.0,3.2627450602066217,3.2057240120841217,0.6073210734446798,-3.043318564783634,0.25,125,1876,45.84221748400853,0.0,860,1.718,100.0,0.4944159591229926,0.5081804198166346,0.4944159591229926,0.5081804198166346,0.16986752261999305,0.0034411151734105166,3.1,5.984317976910444,5.979374112351023,0.3131950037834472,0.24109322921316495,11.804754020550963,0.7766313298039496,-0.6927846448873356,0.9086417742585009,100.0,0.5,1.0,100.0,0.3132481134901148,0.5449505390295637,1.0,0.0,0.0,5.669874138200312,4.469874138200312,0.05,100.0,96.89999999999999,0.0,12.210002301193347,12.002408191950975
0.0,combined,modest_combined,online,11,1.0,6.0,early_post,8.0,8.5,0.002,250,250,0,3.0,2.5452396439981047,0.004210903397866696,3.0632755161219434,3.1292344429295933,0.096,9.6,3.0,2.5452396439981047,2.3318615397798164,1.0201306801950938,-2.318559425920119,0.25,125,126,100.0,0.0,126,0.25,100.0,0.4944159591229926,0.5051976782162306,0.4944159591229926,0.5051976782162306,0.16986752261999305,0.021563438186476103,17.599999999999998,5.984286635324408,5.981456810328519,0.3128383104121796,0.29728153618356795,11.184091950090787,1.041533107542928,-1.0378572424111772,1.2661477559547156,100.0,0.5,1.0,100.0,0.5069713413247049,0.5449505390295637,1.0,0.0,0.0,6.925230944293054,5.725230944293055,0.05,100.0,82.39999999999999,0.0,12.210002301193347,12.014841576123349
0.0,combined,modest_combined,online,11,1.0,6.0,late_post,10.0,12.0,0.002,1000,1000,0,3.0,4.021692112096542,0.00423856173859657,4.206377385215966,4.216520407448317,1.0,100.0,3.0,4.021692112096542,3.9820743980466324,0.5631082781500273,-3.978222366629088,0.25,125,876,0.0,,0,0.0,100.0,0.5081804198166346,0.5081804198166346,0.5081804198166346,0.5081804198166346,0.0,0.0,0.0,5.984317976910444,5.980276415436066,0.3131950037834472,0.2574466402349281,11.804754020550963,0.3748189525717711,-0.3663405465430793,0.6371386715400958,100.0,0.5,1.0,100.0,0.25735479705763387,0.3441173341867765,1.0,0.0,0.0,5.7357605491760975,4.535760549176098,0.05,100.0,100.0,0.0,12.169997000292058,12.057349187576827
0.0,combined,modest_combined,online,11,1.0,8.0,post,8.0,12.0,0.002,2000,2000,0,3.0,1.2232721525844001,0.00257222266217392,1.7919482954203918,2.7702047055677324,0.0,0.0,3.0,1.2232721525844001,0.8808063372182395,0.8488668656536552,-0.6600540365236223,0.25,125,1876,100.0,0.0,1876,3.75,100.0,0.524452245498607,0.6657917745640765,0.5246288182453694,0.6657917745640765,0.15204048147321458,0.03501895211331308,78.05,7.979090635880593,7.204688988337369,0.4175933383779296,0.2917485193526418,11.790284377009536,0.7738456094839845,-0.6891244072535833,0.9064561029032948,100.0,0.5,1.0,100.0,0.3304369960238611,0.5765802340696243,1.0,0.0,0.0,5.677792677799835,4.477792677799836,0.05,100.0,25.75,0.0,12.222127350745668,12.00388275822952
0.0,combined,modest_combined,online,11,1.0,8.0,early_post,8.0,8.5,0.002,250,250,0,3.0,1.6905398699494458,0.004683829581038988,2.621904727585876,2.7702047055677324,0.0,0.0,3.0,1.6905398699494458,1.4556070601047206,0.8597285260255014,-1.3737573385967934,0.25,125,126,100.0,0.0,126,0.25,100.0,0.524452245498607,0.5505085314002909,0.5246288182453694,0.5505574776108669,0.15204048147321458,0.052210464224519804,100.0,6.575966580000808,6.489572765124593,0.34325707300034164,0.32262099794499266,11.200551202355685,1.0402619158864108,-1.0356001851801055,1.2674768985511113,100.0,0.5,1.0,100.0,0.5255041418405332,0.5765802340696243,1.0,0.0,0.0,6.911286990207701,5.711286990207702,0.05,100.0,0.0,0.0,12.222127350745668,12.018427775950816
0.0,combined,modest_combined,online,11,1.0,8.0,late_post,10.0,12.0,0.002,1000,1000,0,3.0,1.051898963544877,0.0020287162444871843,1.7156673379350094,1.7814981365183309,0.0,0.0,3.0,1.051898963544877,0.6920232182552372,0.7922091232133416,-0.39918435263803437,0.25,125,876,100.0,0.0,876,1.75,100.0,0.5942819746926242,0.6657917745640765,0.5944474246290671,0.6657917745640765,0.13735938852221796,0.035123039629617554,56.10000000000001,7.979090635880593,7.80928352363066,0.4175933383779296,0.3377466698048395,11.790284377009536,0.3705050030032258,-0.362404917718031,0.6366980755232267,100.0,0.5,1.0,100.0,0.28018749166659385,0.3839539713255503,1.0,0.0,0.0,5.763119372379714,4.563119372379715,0.05,100.0,51.5,0.0,12.172517522323774,12.060844220385004
0.0,no_bias,modest_combined,online,11,1.0,6.0,post,8.0,12.0,0.002,2000,2000,0,3.0,4.132423983430001,0.00501075145121574,5.190825952132589,5.203258694377017,0.7165,71.65,3.0,4.132423983430001,4.040161348611115,0.8683457007530438,-3.8968738163362207,0.25,125,1876,30.06396588486141,0.2900000000000009,564,1.1260000000000001,100.0,0.5006093503727341,0.5091198732339843,0.5006093503727341,0.5091198732339843,0.20255255985146547,0.0021276307153125502,1.35,5.984317976910444,5.979554920177257,0.3131950037834472,0.2411023611547919,12.581262736958287,0.38123437489181355,0.047506094939069474,0.15849073693516919,100.0,0.5,1.0,100.0,0.3032125852482415,0.5299094036671125,1.0,0.0,0.0,5.404218644288477,4.204218644288478,0.05,100.0,98.65,0.0,12.169648494274558,11.992547894454049
0.0,no_bias,modest_combined,online,11,1.0,6.0,early_post,8.0,8.5,0.002,250,250,0,3.0,3.361133096593413,0.004871912521643816,3.8589480279501376,3.917053579581607,0.824,82.39999999999999,3.0,3.361133096593413,3.0876002683019106,1.3281341333606318,-3.078474603320643,0.25,125,126,0.0,,0,0.0,100.0,0.5006093503727341,0.506947252578264,0.5006093503727341,0.506947252578264,0.20255255985146547,0.012675804411059755,7.6,5.984286635324408,5.982340511494875,0.3128383104121796,0.2973251574057259,11.872348639655135,0.3511467878475761,-0.34118834937811743,0.5343095700167987,100.0,0.5,1.0,100.0,0.49520224711290856,0.5299094036671125,1.0,0.0,0.0,6.771323672180906,5.571323672180907,0.05,100.0,92.4,0.0,12.162159013497883,11.97967228321849
0.0,no_bias,modest_combined,online,11,1.0,6.0,late_post,10.0,12.0,0.002,1000,1000,0,3.0,4.99659976255133,0.00539920202646938,5.196512958183944,5.203258694377017,1.0,100.0,3.0,4.99659976255133,4.897709738096482,0.9891655617149742,-4.893309043782775,0.25,125,876,0.0,,0,0.0,100.0,0.5091198732339843,0.5091198732339843,0.5091198732339843,0.5091198732339843,0.0,0.0,0.0,5.984317976910444,5.980276415436066,0.3131950037834472,0.2574466402349281,12.581262736958287,0.409337173886128,0.4000112801045505,-0.13116889852938052,100.0,0.5,1.0,100.0,0.24839420079409463,0.334225525982388,1.0,0.0,0.0,5.463344896651407,4.263344896651407,0.05,100.0,100.0,0.0,12.169648494274558,12.05539344415498
0.0,no_bias,modest_combined,online,11,1.0,8.0,post,8.0,12.0,0.002,2000,2000,0,3.0,1.411035730745816,0.0026609995776323133,2.0319732231870833,3.277905269151007,0.01,1.0,3.0,1.411035730745816,1.16669169681544,0.7936323569659246,-1.09340601300395,0.25,125,1876,100.0,0.0,1876,3.75,98.75,0.5438586360523892,0.6682856911912917,0.5440862382784173,0.6682856911912917,0.17650736738528128,0.03110676378472563,58.95,7.979090635880593,7.440433141837242,0.4175933383779296,0.30016406887685765,12.563678946107986,0.3842924168547476,0.05398235603822138,0.15371198213215445,100.0,0.5,1.0,100.0,0.32152938606905507,0.5743668694039736,1.0,0.0,0.0,5.415192406781843,4.215192406781844,0.05,100.0,39.800000000000004,0.05,12.185708706087398,11.994245400750184
0.0,no_bias,modest_combined,online,11,1.0,8.0,early_post,8.0,8.5,0.002,250,250,0,3.0,2.0286392740412675,0.0053178823391025224,3.102577272181639,3.277905269151007,0.08,8.0,3.0,2.0286392740412675,1.7315959588114895,1.05685984861305,-1.639649371808611,0.25,125,126,100.0,0.0,126,0.25,100.0,0.5438586360523892,0.577991401874324,0.5440862382784173,0.5780740463568311,0.17650736738528128,0.06843082060888395,100.0,6.878413834962249,6.757515335722533,0.3595262435611892,0.33599395234964435,11.898533332119095,0.3536197411300975,-0.33966249980729757,0.5368581186208894,100.0,0.5,1.0,100.0,0.5210227204760378,0.5743668694039736,1.0,0.0,0.0,6.74825056505801,5.5482505650580105,0.05,100.0,0.0,0.0,12.185708706087398,11.9837466813934
0.0,no_bias,modest_combined,online,11,1.0,8.0,late_post,10.0,12.0,0.002,1000,1000,0,3.0,1.3024558684775236,0.0016593136586622464,1.792642201833504,1.8542609213733894,0.0,0.0,3.0,1.3024558684775236,1.153201073633675,0.6054077742329375,-1.1360967487986577,0.25,125,876,100.0,0.0,876,1.75,97.5,0.630010992749255,0.6682856911912917,0.6301878279266401,0.6682856911912917,0.1482353112121082,0.01913734922101834,17.9,7.979090635880593,7.9329910198166615,0.4175933383779296,0.34218312607324497,12.563678946107986,0.41543081602348525,0.40729571244565443,-0.1341194496685839,100.0,0.5,1.0,100.0,0.26747336066326327,0.3676228528802244,1.0,0.0,0.0,5.5029990419564205,4.302999041956421,0.05,100.0,79.60000000000001,0.1,12.170885011748846,12.05972732535688
15.0,combined,modest_combined,online,11,1.0,6.0,post,8.0,12.0,0.002,2000,2000,0,3.0,3.3183299809868836,0.003994381526470877,4.319374158292466,4.338757270406675,0.588,58.8,3.0,3.3183299809868836,3.2511124237663362,0.6645162682347137,-3.087794325709025,0.25,125,1876,43.81663113006397,0.11800000000000033,822,1.6420000000000001,100.0,0.4914994396839499,0.5107687596170797,0.4914994396839499,0.5107687596170797,0.19028403066939648,0.00481732998328245,4.3999999999999995,5.984317976910445,5.979346328894835,0.3131950037834474,0.241092001934539,11.828149804524852,0.8020661430764406,-0.7176613639772822,0.8990547451036495,100.0,0.5,1.0,100.0,0.4311951404836097,0.7750636624852568,1.0,0.0,0.0,5.622490524736863,4.4224905247368635,0.05,100.0,95.6,0.0,12.339245694729273,11.981920896594067
15.0,combined,modest_combined,online,11,1.0,6.0,early_post,8.0,8.5,0.002,250,250,0,3.0,2.984862937093692,0.004375150015862132,3.4304212786960724,3.4632780795791525,0.48,48.0,3.0,2.984862937093692,2.803002221701461,1.0259557974748517,-2.790725865259952,0.25,125,126,53.17460317460318,0.11800000000000033,67,0.132,100.0,0.4914994396839499,0.5022394220258487,0.4914994396839499,0.5022394220258487,0.19028403066939648,0.021479964683797648,14.799999999999999,5.984286635324408,5.9818402762070715,0.3128383104121798,0.29729987353209936,11.295461936601718,0.9447308929178593,-0.9392269857049514,1.2610879048817858,100.0,0.5,1.0,100.0,0.7375614279642855,0.7750636624852568,1.0,0.0,0.0,7.470763841986825,6.270763841986826,0.05,100.0,85.2,0.0,12.339245694729273,12.122388434644535
15.0,combined,modest_combined,online,11,1.0,6.0,late_post,10.0,12.0,0.002,1000,1000,0,3.0,4.059466499671371,0.004132924378978288,4.330244350789402,4.338757270406675,1.0,100.0,3.0,4.059466499671371,4.00889432770859,0.6387758066959255,-4.001623688816045,0.25,125,876,0.0,,0,0.0,100.0,0.5107687596170797,0.5107687596170797,0.5107687596170797,0.5107687596170797,0.0,0.0,0.0,5.984317976910445,5.980276415436067,0.3131950037834474,0.2574466402349282,11.828149804524852,0.4065242701178752,-0.38783413099667824,0.6253773061343684,100.0,0.5,1.0,100.0,0.3685381411716389,0.48957824860259364,1.0,0.0,0.0,5.622490524736863,4.4224905247368635,0.05,100.0,100.0,0.0,12.227319051468502,12.03807069060539
15.0,combined,modest_combined,online,11,1.0,8.0,post,8.0,12.0,0.002,2000,2000,0,3.0,1.2640303047829278,0.002633473414366785,1.93898688830568,2.956581735028438,0.0,0.0,3.0,1.2640303047829278,0.9489390672916692,0.8350372793937035,-0.6705907838668563,0.25,125,1876,100.0,0.0,1876,3.75,100.0,0.5273625078266438,0.6671152918259303,0.5275728725550789,0.6671152918259303,0.16751751890958788,0.03430723260328428,76.14999999999999,7.979090635880593,7.2178230437419195,0.41759333837792967,0.29301078425084454,11.811942734896029,0.8005969789974078,-0.7145099384093553,0.8971671962605969,100.0,0.5,1.0,100.0,0.45065028550050656,0.8196554582217601,1.0,0.0,0.0,5.641899403411826,4.441899403411827,0.05,100.0,29.299999999999997,0.0,12.371300280586544,11.983184773318943
15.0,combined,modest_combined,online,11,1.0,8.0,early_post,8.0,8.5,0.002,250,250,0,3.0,1.8796537334031664,0.004873552285858665,2.8266991859116626,2.956581735028438,0.0,0.0,3.0,1.8796537334031664,1.6965391148208326,0.8092299978247269,-1.6046922221212854,0.25,125,126,100.0,0.0,126,0.25,100.0,0.5273625078266438,0.5598175858639486,0.5275728725550789,0.5598827205028967,0.16751751890958788,0.06504042535250565,100.0,6.729335611431227,6.632378704116384,0.35026956692819355,0.32974515907817104,11.32452765568002,0.945440446718937,-0.9378040120454126,1.2641644030391208,100.0,0.5,1.0,100.0,0.7684822339843628,0.8196554582217601,1.0,0.0,0.0,7.452780411017595,6.2527804110175955,0.05,100.0,0.0,0.0,12.371300280586544,12.126887906461409
