category,method,case_index,scenario,simulation_seed,duration_s,controller_yaw_deg,wall_yaw_deg,wall_time_constant_s,tool_mass_kg,true_sliding_friction,has_raw_contact,force_rmse_n,peak_force_n,tangent_rmse_mm,contact_ratio_pct,saturation_pct,orientation_rmse_deg,measurement_rmse_n,seconds_over_35_n,first_raw_contact_time_s,max_penetration_mm,evaluation_median_penetration_mm,projection_pct,max_compensation_force_n,baseline_metric_max_abs_error,case_checks_pass,failed_case_checks
main,integral,18,surface_dev_18,11,4.5,15.0,15.0,0.005,0.13,0.45,True,0.19404813227282047,12.620328087275254,8.15183372398107,100.0,0.0,0.4959762591799387,0.2024766214148065,0.0,0.544,0.7880562928667921,0.6410499894928361,0.0,5.19383311572058,,yes,
main,integral,19,surface_dev_19,29,4.5,15.0,15.0,0.005,0.13,0.45,True,0.18763190447496547,12.621853557575934,8.139890735401226,100.0,0.0,0.49636539379394895,0.20819398855696544,0.0,0.544,0.7878416219125294,0.6406653867166364,0.0,5.185696843440886,,yes,
main,integral,20,surface_dev_20,11,4.5,15.0,15.0,0.012,0.1,0.45,True,0.19621493089045938,12.636075926790975,8.155559549204456,100.0,0.0,0.4960914496790851,0.2030513046918205,0.0,0.544,0.8509307812148564,0.6946339183061395,0.0,5.192877134502756,,yes,
main,integral,21,surface_dev_21,29,4.5,15.0,15.0,0.012,0.1,0.45,True,0.18991277027073936,12.65838340970395,8.143862677132459,100.0,0.0,0.49648988317727466,0.20874159074906934,0.0,0.544,0.850729321629766,0.6942031772787862,0.0,5.184586539446722,,yes,
main,integral,22,surface_dev_22,11,4.5,15.0,15.0,0.012,0.13,0.45,True,0.1965665918873731,12.637313391606307,8.159025413094591,100.0,0.0,0.49620177001213117,0.20299565592198934,0.0,0.544,0.8492106924136815,0.6923581382914049,0.0,5.193325247744426,,yes,
main,integral,23,surface_dev_23,29,4.5,15.0,15.0,0.012,0.13,0.45,True,0.19001851467098352,12.659353742562168,8.147326593380022,100.0,0.0,0.4966006122808855,0.20869084328934376,0.0,0.544,0.8490105266915835,0.6919460241823008,0.0,5.185111419238585,,yes,
main,friction,0,surface_dev_00,11,4.5,-15.0,-15.0,0.005,0.1,0.45,True,0.20964051008268803,12.624059704727921,1.8855354126455788,100.0,0.0,0.5567667630742675,0.20127911832104775,0.0,0.544,0.7896720654738676,0.6602403226087742,0.0,5.555088706099216,,yes,
main,friction,1,surface_dev_01,29,4.5,-15.0,-15.0,0.005,0.1,0.45,True,0.19961834691019498,12.607584848336476,1.8743814466511093,100.0,0.0,0.556980579008517,0.2061409339163776,0.0,0.546,0.7894230923833692,0.66121117263096,0.0,5.543367645278306,,yes,
main,friction,2,surface_dev_02,11,4.5,-15.0,-15.0,0.005,0.13,0.45,True,0.2108514954925669,12.625197196463274,1.8906523983223076,100.0,0.0,0.5568326809820323,0.20123881657600096,0.0,0.544,0.7881085839671585,0.6580716279418684,0.0,5.555036651401211,,yes,
main,friction,3,surface_dev_03,29,4.5,-15.0,-15.0,0.005,0.13,0.45,True,0.2006640024278618,12.608693510981468,1.8794677621737879,100.0,0.0,0.5570471190018768,0.2061007309157999,0.0,0.546,0.7878612005228978,0.6590059867729765,0.0,5.543459656967724,,yes,
main,friction,4,surface_dev_04,11,4.5,-15.0,-15.0,0.012,0.1,0.45,True,0.21123546798702691,12.632031461236583,1.8913835295442922,100.0,0.0,0.5572624063259562,0.20155136681296756,0.0,0.544,0.8509739222300126,0.711263522454408,0.0,5.555913425289675,,yes,
main,friction,5,surface_dev_05,29,4.5,-15.0,-15.0,0.012,0.1,0.45,True,0.2017006114397428,12.609429748505596,1.8801641261462694,100.0,0.0,0.5574646396567383,0.20643908371762595,0.0,0.546,0.8507582365731882,0.7125911289324987,0.0,5.546061648030318,,yes,
main,friction,6,surface_dev_06,11,4.5,-15.0,-15.0,0.012,0.13,0.45,True,0.21244308970302012,12.633143773804454,1.8965284995826177,100.0,0.0,0.5573282195971642,0.20150836263315663,0.0,0.544,0.8492537704864294,0.7091122111327846,0.0,5.555835437714571,,yes,
main,friction,7,surface_dev_07,29,4.5,-15.0,-15.0,0.012,0.13,0.45,True,0.20274744886615237,12.610598257013178,1.8852778837180189,100.0,0.0,0.557531032668114,0.20639620585976842,0.0,0.546,0.8490392960182682,0.7104225585413629,0.0,5.546138571318563,,yes,
main,friction,8,surface_dev_08,11,4.5,0.0,0.0,0.005,0.1,0.45,True,0.16228244396804478,12.636585788580819,1.8043320344220493,100.0,0.0,0.4501545965963686,0.20904664300235376,0.0,0.5740000000000001,0.7897611603013623,0.6596471088251357,0.0,5.5560059220670315,,yes,
main,friction,9,surface_dev_09,29,4.5,0.0,0.0,0.005,0.1,0.45,True,0.15140821247154526,12.622467681460728,1.7905495901465214,100.0,0.0,0.45046217683428263,0.21439443305154782,0.0,0.5740000000000001,0.7896273381316279,0.6598423743902695,0.0,5.54443122430275,,yes,
main,friction,10,surface_dev_10,11,4.5,0.0,0.0,0.005,0.13,0.45,True,0.16331823867593018,12.6377605415699,1.809448659329925,100.0,0.0,0.45020753374671896,0.20900151793362476,0.0,0.5740000000000001,0.7881989087508492,0.6574178348033102,0.0,5.555899583976282,,yes,
main,friction,11,surface_dev_11,29,4.5,0.0,0.0,0.005,0.13,0.45,True,0.1521894891314334,12.623602954725857,1.7956536408297876,100.0,0.0,0.45051567192305825,0.21435308838842285,0.0,0.5740000000000001,0.7880648169046114,0.6576476903975073,0.0,5.544215662554637,,yes,
main,friction,12,surface_dev_12,11,4.5,0.0,0.0,0.012,0.1,0.45,True,0.1651684546838027,12.65162317449773,1.8101725288276476,100.0,0.0,0.45049006423043486,0.20940232070594322,0.0,0.5740000000000001,0.8511013179661533,0.7109998804384412,0.0,5.560666478603819,,yes,
main,friction,13,surface_dev_13,29,4.5,0.0,0.0,0.012,0.1,0.45,True,0.15329732434359394,12.628783970392217,1.7963844656072254,100.0,0.0,0.45080755562637753,0.21470216161518194,0.0,0.5740000000000001,0.8509045513209537,0.711085799844642,0.0,5.5473366433331925,,yes,
main,friction,14,surface_dev_14,11,4.5,0.0,0.0,0.012,0.13,0.45,True,0.1662040968506829,12.652757751384899,1.8153215844496242,100.0,0.0,0.450542875305343,0.20935358538112853,0.0,0.5740000000000001,0.8493817337996492,0.7088064766061011,0.0,5.560422017628878,,yes,
main,friction,15,surface_dev_15,29,4.5,0.0,0.0,0.012,0.13,0.45,True,0.15408088833892966,12.629880561091165,1.8015191629480347,100.0,0.0,0.4508607805254612,0.21465836888842624,0.0,0.5740000000000001,0.8491850282756688,0.7089058020291819,0.0,5.547028618615569,,yes,
main,friction,16,surface_dev_16,11,4.5,15.0,15.0,0.005,0.1,0.45,True,0.1708274036684484,12.620729988248337,1.9119209235147776,100.0,0.0,0.42361953723487517,0.2031633553334102,0.0,0.544,0.7896328860047055,0.6586684932522076,0.0,5.615892952936453,,yes,
main,friction,17,surface_dev_17,29,4.5,15.0,15.0,0.005,0.1,0.45,True,0.16357939669828833,12.599041467801147,1.895573179516424,100.0,0.0,0.4238823248755746,0.20873244322641293,0.0,0.544,0.7894180896112282,0.6586521629898152,0.0,5.621213330064391,,yes,
main,friction,18,surface_dev_18,11,4.5,15.0,15.0,0.005,0.13,0.45,True,0.17123940131884324,12.621832743060999,1.9169175393222149,100.0,0.0,0.423691183515696,0.2031160072372517,0.0,0.544,0.7880697485673077,0.6564394899125012,0.0,5.61564578941863,,yes,
main,friction,19,surface_dev_19,29,4.5,15.0,15.0,0.005,0.13,0.45,True,0.16370752384810117,12.60015257809223,1.9005662218855874,100.0,0.0,0.4239537989918888,0.20869307310918223,0.0,0.544,0.7878566307167254,0.6564817889965733,0.0,5.620996841637284,,yes,
main,friction,20,surface_dev_20,11,4.5,15.0,15.0,0.012,0.1,0.45,True,0.17278808485609837,12.628721905310462,1.9181234828999645,100.0,0.0,0.4237785011938424,0.20355828477857887,0.0,0.544,0.8509454786976567,0.7101962338320975,0.0,5.619949493705211,,yes,
main,friction,21,surface_dev_21,29,4.5,15.0,15.0,0.012,0.1,0.45,True,0.16537428964500206,12.61248848689036,1.9017705317566953,100.0,0.0,0.42404262938620324,0.20907800078041278,0.0,0.544,0.8507462602938622,0.7097962768925856,0.0,5.623807687573647,,yes,
main,friction,22,surface_dev_22,11,4.5,15.0,15.0,0.012,0.13,0.45,True,0.1732059200335102,12.629794323374925,1.9231453361686073,100.0,0.0,0.42384893785275524,0.20350668322951246,0.0,0.544,0.8492252600052451,0.7079802222364588,0.0,5.619614736156516,,yes,
main,friction,23,surface_dev_23,29,4.5,15.0,15.0,0.012,0.13,0.45,True,0.1655141020379737,12.613569433329905,1.9067934327438807,100.0,0.0,0.4241132349699289,0.20903586290526577,0.0,0.544,0.8490273225311915,0.70763247147612,0.0,5.623616024550901,,yes,
