method,case_index,true_sliding_friction,contact_in_both_methods,force_rmse_n,peak_force_n,tangent_rmse_mm,contact_ratio_pct,saturation_pct,orientation_rmse_deg,measurement_rmse_n,seconds_over_35_n,first_raw_contact_time_s,max_penetration_mm,evaluation_median_penetration_mm,projection_pct,max_compensation_force_n
friction,12,0.45,True,-0.0002040862041003677,0.0,-9.94870968127976,0.0,0.0,0.02477268339272637,-0.0009201493020822016,0.0,0.0,0.0,-0.007248921357644322,0.0,5.560666478603819
friction,13,0.45,True,0.0014732833822320712,0.0,-9.954665331989654,0.0,0.0,0.024775781362583238,-0.000927167930546785,0.0,0.0,0.0,-0.008014777837739295,0.0,5.5473366433331925
friction,14,0.45,True,-0.00032215045348285565,0.0,-9.94668803605204,0.0,0.0,0.024774477505800807,-0.0009042560823012968,0.0,0.0,0.0,-0.007273155960357824,0.0,5.560422017628878
friction,15,0.45,True,0.00133446559995834,0.0,-9.95264120034874,0.0,0.0,0.024777193804142117,-0.0009103883364509902,0.0,0.0,0.0,-0.008032916475803065,0.0,5.547028618615569
friction,16,0.45,True,-0.013223019319697882,0.0,-9.889859172350878,0.0,0.0,0.02835205777903982,0.00018890886822767183,0.0,0.0,0.0,-0.007440389718694096,0.0,5.615892952936453
friction,17,0.45,True,-0.011934745053241158,1.8278711877428577e-12,-9.896002705460223,0.0,0.0,0.028274806454075874,0.0003287403901534036,0.0,0.0,6.8833827526759706e-15,-0.006794660651302076,0.0,5.621213330064391
friction,18,0.45,True,-0.0133017453656534,1.7763568394002505e-15,-9.88788899681665,0.0,0.0,0.02835686941706478,0.00020385444078441228,0.0,0.0,0.0,-0.007474474890826643,0.0,5.61564578941863
friction,19,0.45,True,-0.012041752959220109,1.1095124818893964e-11,-9.894033158854036,0.0,0.0,0.02827894570838252,0.0003424562934547515,0.0,0.0,-9.35918009759007e-14,-0.006789790251652494,0.0,5.620996841637284
friction,20,0.45,True,-0.013965042419128326,-0.009660076145925345,-9.888243401560926,0.0,0.0,0.028285449543648977,4.740788219548264e-05,0.0,0.0,0.0,-0.006947209635609464,0.0,5.619949493705211
friction,21,0.45,True,-0.012722482235607374,-4.0039083160081645e-12,-9.894409212117031,0.0,0.0,0.02820666562380303,0.00015594180768094268,0.0,0.0,6.8833827526759706e-15,-0.007142469592883671,0.0,5.623807687573647
friction,22,0.45,True,-0.014033118639887793,-0.00956514562858679,-9.886232656403475,0.0,0.0,0.028290427316498057,6.255995402607017e-05,0.0,0.0,0.0,-0.006985202732521012,0.0,5.619614736156516
friction,23,0.45,True,-0.012818190575857064,1.7763568394002505e-15,-9.892391706494232,0.0,0.0,0.028211504340110383,0.00016988007762211432,0.0,0.0,0.0,-0.007119481618829804,0.0,5.623616024550901
