surface_yaw_deg,scale,case,arm,simulation_seed,phase,sample_count,force_rmse_n,peak_force_n,contact_ratio_pct,tangent_rmse_mm,tangent_velocity_error_rms_m_s,orientation_rmse_deg,saturation_pct,projection_pct,minimum_torque_headroom_nm,minimum_reserved_torque_headroom_nm,paired_baseline_force_rmse_increase_n,paired_baseline_orientation_rmse_increase_deg,paired_friction_force_rmse_increase_n,paired_friction_orientation_rmse_increase_deg,failed_gates,all_gates_pass,supplemental_failures,all_checks_pass
0,1,stop_hold_reverse,online,11,hold,750,0.0634313318526373,12.259962254800483,100.0,0.7647445751428525,0.0004883676533830812,0.1766721203734502,0.0,0.0,6.485843452927218,5.285843452927219,0.019477537478678225,-0.10118245567393835,0.003319254000403671,-0.0004000695076341043,,yes,,yes
0,1,stop_hold_reverse,online,11,reverse_ramp,500,0.0973627699214049,12.20905366665108,100.0,1.0198670785695008,0.0023982020317117668,0.28280768419041025,0.0,0.0,6.549631046201064,5.349631046201065,0.006785879554861804,0.07212698008912677,-0.0030491134114656454,0.01663737487538619,,yes,,yes
0,1,stop_hold_reverse,online,11,reverse,2000,0.08871326228848234,12.22982868147232,100.0,0.815390826516842,0.001382684142859151,0.36154159145474696,0.0,0.0,5.725589495087754,4.525589495087755,-0.011290518483936779,0.00808192968309579,-0.00025599204607165693,0.004359793311619231,,yes,,yes
0,1,modest_combined,baseline,11,pre_change,1250,0.18927409904885023,12.382827682561656,100.0,8.744833216202707,0.013716155765345883,0.5245346935979345,0.0,0.0,6.514212378157004,5.314212378157005,0.0,0.0,-0.019144325795731804,-0.03419003739090276,,yes,,yes
0,1,modest_combined,baseline,11,combined_transition,2000,0.42155895972655577,12.35354062997815,100.0,7.661856451218898,0.012423821316074491,0.2527271374339259,0.0,0.0,5.770320290536295,4.570320290536296,0.0,0.0,-0.026610022329847216,0.013766885456185513,,yes,,yes
0,1,modest_combined,baseline,11,combined_post,2000,0.7922130285826997,11.84944458267639,100.0,13.929899156306526,0.016709933973640963,0.31230690093786156,0.0,0.0,5.643863092277261,4.443863092277262,0.0,0.0,0.01433272659721141,0.003967479505911309,,yes,,yes
0,1,modest_combined,friction,11,pre_change,1250,0.20841842484458203,12.368184724004548,100.0,2.9621990200022283,0.003768954368710887,0.5587247309888372,0.0,0.0,6.434122172063205,5.234122172063206,0.019144325795731804,0.03419003739090276,0.0,0.0,,yes,,yes
0,1,modest_combined,friction,11,combined_transition,2000,0.448168982056403,12.370305234786008,100.0,1.7372940547924558,0.0035157984342104945,0.23896025197774037,0.0,0.0,5.752698297925008,4.552698297925009,0.026610022329847216,-0.013766885456185513,0.0,0.0,,yes,,yes
0,1,modest_combined,friction,11,combined_post,2000,0.7778803019854883,11.817371678286879,100.0,4.383790067441268,0.005336405937956186,0.30833942143195026,0.0,0.0,5.668720355690789,4.46872035569079,-0.01433272659721141,-0.003967479505911309,0.0,0.0,,yes,,yes
0,1,modest_combined,online,11,pre_change,1250,0.2039202375307344,12.367568589023554,100.0,1.7913973979883537,0.004275979679350299,0.5592049799791391,0.0,0.0,6.444371500490147,5.244371500490148,0.014646138481884174,0.03467028638120462,-0.004498187313847629,0.00048024899030185697,,yes,,yes
0,1,modest_combined,online,11,combined_transition,2000,0.44378771805504263,12.3608376838957,100.0,1.416326940211192,0.003762300063992059,0.2458043660621281,0.0,0.0,5.747709049583487,4.547709049583488,0.022228758328486864,-0.006922771371797781,-0.004381264001360352,0.006844114084387731,,yes,,yes
0,1,modest_combined,online,11,combined_post,2000,0.7766313298039496,11.804754020550963,100.0,3.2627450602066217,0.003970305738081095,0.3132481134901148,0.0,0.0,5.669874138200312,4.469874138200312,-0.015581698778750153,0.0009412125522532122,-0.0012489721815387433,0.004908692058164521,,yes,,yes
15.0,1,stop_hold_reverse,baseline,11,forward,1500,0.18405042298810237,12.606747066028133,100.0,11.801780095865698,0.01811649927016314,0.3952674794558066,0.0,0.0,6.013376297504484,4.813376297504485,0.0,0.0,0.01322301931974565,-0.028352057779062467,,yes,,yes
15.0,1,stop_hold_reverse,baseline,11,stopping,500,0.1161767750889199,12.2534705247211,100.0,10.571421349395912,0.008202356899292971,0.27058035777920736,0.0,0.0,5.675288847610409,4.475288847610409,0.0,0.0,-0.023459389302992753,-0.015384737535782123,,yes,,yes
15.0,1,stop_hold_reverse,baseline,11,hold,750,0.035518752873291114,12.120784920256392,100.0,6.025338770114624,0.003957266109875681,0.270162280072804,0.0,0.0,5.874687200025013,4.674687200025014,0.0,0.0,-0.01639649693921741,0.09886848115544472,,yes,,yes
15.0,1,stop_hold_reverse,baseline,11,reverse_ramp,500,0.11760212160051838,12.433036613789406,100.0,7.053310820307321,0.021302737769676977,0.23181545936605635,0.0,0.0,6.390251126956972,5.190251126956973,0.0,0.0,-0.04014698626565959,-0.11830003558653956,,yes,,yes
15.0,1,stop_hold_reverse,baseline,11,reverse,2000,0.16013362936910225,12.4692089615187,100.0,11.675552886500386,0.014116525204220524,0.47808025235344154,0.0,0.0,5.718354799774831,4.518354799774832,0.0,0.0,0.014043330179065866,0.008301372575939492,,yes,,yes
15.0,1,stop_hold_reverse,friction,11,forward,1500,0.17082740366835672,12.554738611470729,100.0,1.911920923514814,0.0037951026355943634,0.42361953723486906,0.0,0.0,5.9244355668116215,4.724435566811622,-0.01322301931974565,0.028352057779062467,0.0,0.0,,yes,,yes
15.0,1,stop_hold_reverse,friction,11,stopping,500,0.13963616439191265,12.331185004453909,100.0,0.8487615661543301,0.0026944853555603107,0.2859650953149895,0.0,0.0,5.703643317734096,4.503643317734097,0.023459389302992753,0.015384737535782123,0.0,0.0,,yes,,yes
15.0,1,stop_hold_reverse,friction,11,hold,750,0.05191524981250852,12.224904909022026,100.0,0.24209471272389463,0.00021027712478302105,0.1712937989173593,0.0,0.0,6.637994364143263,5.437994364143264,0.01639649693921741,-0.09886848115544472,0.0,0.0,,yes,,yes
15.0,1,stop_hold_reverse,friction,11,reverse_ramp,500,0.15774910786617796,12.318716488789892,100.0,1.6684719505452745,0.004009245005392013,0.3501154949525959,0.0,0.0,6.691579247336996,5.491579247336997,0.04014698626565959,0.11830003558653956,0.0,0.0,paired_orientation_rmse,no,,no
15.0,1,stop_hold_reverse,friction,11,reverse,2000,0.14609029919003638,12.3044281645969,100.0,1.583099212856304,0.0022778793091781696,0.46977887977750205,0.0,0.0,5.751491763641283,4.551491763641284,-0.014043330179065866,-0.008301372575939492,0.0,0.0,,yes,,yes
