surface_yaw_deg,scale,case,arm,simulation_seed,paired_baseline_seed,controller_yaw_error_deg,sample_count,force_rmse_n,peak_force_n,contact_ratio_pct,tangent_rmse_mm,tangent_velocity_error_rms_m_s,orientation_rmse_deg,saturation_pct,worst_force_phase,worst_phase_force_rmse_n,worst_tangent_phase,worst_phase_tangent_rmse_mm,worst_orientation_phase,worst_phase_orientation_rmse_deg,force_recovery_status,force_recovered,force_recovery_time_s,tangent_recovery_status,tangent_recovered,tangent_recovery_time_s,tangential_update_ready_pct,coefficient_min,coefficient_max,max_requested_tangential_force_n,compensation_limit_observed,max_normal_operation_coefficient_rate_s,max_coefficient_reset_jump,max_normal_operation_force_slew_n_s,max_force_reset_jump_n,projection_pct,minimum_torque_headroom_nm,minimum_reserved_torque_headroom_nm,paired_force_rmse_increase_n,paired_orientation_rmse_increase_deg,paired_friction_force_rmse_increase_n,paired_friction_orientation_rmse_increase_deg,failed_gates,all_gates_pass,supplemental_failures,all_checks_pass
0,1,modest_combined,friction,11,11,3.0,5250,0.5633579934569872,12.638301682485118,100.0,3.2496121605671373,0.0043519542456690406,0.36372859005993696,0.0,combined_post,0.7778803019854883,combined_post,4.383790067441268,pre_change,0.5587247309888372,recovered,True,0.0,recovered,True,0.7100000000000009,0.0,0.45,0.45,5.52574989936261,False,0.0,0.0,69.47420228115081,0.0,0.0,5.668720355690789,4.46872035569079,0.001828155539304377,0.007362267370498166,0.0,0.0,,yes,,yes
0,1,modest_combined,online,11,11,3.0,5250,0.5609832951171065,12.638301682485118,100.0,2.362982596951038,0.003968722035485539,0.3672228066375476,0.0,combined_post,0.7766313298039496,combined_post,3.2627450602066217,pre_change,0.5592049799791391,recovered,True,0.0,recovered,True,0.0,80.80000000000001,0.3394949826870767,0.5081804198166346,5.984317976910444,False,0.2781108001608801,0.0,20.000000000000515,0.0,0.0,5.669874138200312,4.469874138200312,-0.0005465428005763107,0.010856483948108786,-0.0023746983398806876,0.0034942165776106204,,yes,,yes
15.0,1,stop_hold_reverse,baseline,11,11,0.0,5250,0.1490971132579599,12.620729988248337,100.0,10.59686110277892,0.014884645334055766,0.39271771945005957,0.0,forward,0.18405042298810237,forward,11.801780095865698,reverse,0.47808025235344154,recovered,True,0.0,not_recovered,False,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,5.675288847610409,4.475288847610409,0.0,0.0,0.003907143518719736,-0.0060301498545324295,,yes,,yes
15.0,1,stop_hold_reverse,friction,11,11,0.0,5250,0.14518996973924017,12.620729988248337,100.0,1.53011816988837,0.0028845065630877997,0.398747869304592,0.0,forward,0.17082740366835672,forward,1.911920923514814,reverse,0.46977887977750205,recovered,True,0.0,recovered,True,0.0,0.0,0.45,0.45,5.615892952936512,False,0.0,0.0,69.75438567289864,0.0,0.0,5.703643317734096,4.503643317734097,-0.003907143518719736,0.0060301498545324295,0.0,0.0,,yes,,yes
15.0,1,stop_hold_reverse,online,11,11,0.0,5250,0.1464794089838974,12.659241372536588,100.0,1.069854457482169,0.0026221577333729886,0.40697383754597155,0.0,forward,0.17440956421271447,forward,1.351559821203211,reverse,0.4732875429367571,recovered,True,0.0,recovered,True,0.0,80.2095238095238,0.45,0.5069229257101218,5.984360762996737,False,0.2566440827006522,0.0,20.00000000000043,0.0,0.0,5.70574531060141,4.5057453106014105,-0.0026177042740624934,0.014256118095911985,0.0012894392446572422,0.008225968241379555,,yes,,yes
15.0,1,modest_combined,baseline,11,11,3.0,5250,0.5672726596772694,12.630830493906048,100.0,10.753517880870529,0.014570514721901238,0.3931984949936907,0.0,combined_post,0.8140061263451771,combined_post,13.981278406896026,pre_change,0.4831520183943405,recovered,True,0.0,not_recovered,False,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,5.604047721230359,4.40404772123036,0.0,0.0,0.0007850774844399,-0.005881179804508974,,yes,,yes
15.0,1,modest_combined,friction,11,11,3.0,5250,0.5664875821928295,12.628817270783898,100.0,3.2626768936685133,0.004376801886562688,0.39907967479819967,0.0,combined_post,0.8030302501622534,combined_post,4.44838912227347,pre_change,0.5092039048239826,recovered,True,0.0,recovered,True,0.798,0.0,0.45,0.45,5.6003276048603565,False,0.0,0.0,69.64474945920333,0.0,0.0,5.620280125695685,4.420280125695686,-0.0007850774844399,0.005881179804508974,0.0,0.0,,yes,,yes
15.0,1,modest_combined,online,11,11,3.0,5250,0.564658816271803,12.628817270787037,100.0,2.397578763690601,0.003926510370174217,0.4033014159784949,0.0,combined_post,0.8020661430764406,combined_post,3.3183299809868836,pre_change,0.5104415093305257,recovered,True,0.0,recovered,True,0.11800000000000033,80.72380952380952,0.34549928419771136,0.5107687596170797,5.984317976910445,False,0.2709610696936815,0.0,20.000000000000487,0.0,0.0,5.622490524736863,4.4224905247368635,-0.0026138434054663318,0.010102920984804198,-0.0018287659210264318,0.004221741180295224,,yes,,yes
-15,2,stop_hold_reverse,baseline,11,11,0.0,5250,0.13245023922211283,12.541452551798194,100.0,10.58171973056779,0.014926683684266242,0.19529427966334922,0.0,forward,0.20153024592373694,forward,11.827716922875771,forward,0.28363582982885865,recovered,True,0.0,not_recovered,False,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,5.732529140348788,4.532529140348789,0.0,0.0,-0.0074945550301947494,-0.006106314515214484,,yes,,yes
-15,2,stop_hold_reverse,friction,11,11,0.0,5250,0.13994479425230757,12.541452551798194,100.0,1.5314556740266618,0.0029753255264807973,0.2014005941785637,0.0,forward,0.2111962520747907,forward,1.9039278607931944,forward,0.2954341102124209,recovered,True,0.0,recovered,True,0.0,0.0,0.45,0.45,5.550821699611544,False,0.0,0.0,68.62417723990211,0.0,0.0,5.760539300980955,4.560539300980956,0.0074945550301947494,0.006106314515214484,0.0,0.0,,yes,,yes
