case,surface_yaw_deg,simulation_seed,arm,phase,from_scale,to_scale,delta_force_rmse_n,delta_peak_force_n,delta_contact_ratio_pct,delta_tangent_rmse_mm,delta_tangent_velocity_error_rms_m_s,delta_orientation_rmse_deg,delta_saturation_pct,delta_projection_pct,delta_minimum_torque_headroom_nm,delta_minimum_reserved_torque_headroom_nm,delta_force_recovery_time_s,delta_tangent_recovery_time_s
stop_hold_reverse,15.0,11,baseline,forward,1,2,0.009606603732191549,0.003431299949143707,0.0,-0.005118168271105006,0.00019032929275411906,-0.1792645037025805,0.0,0.0,-0.0009672594803209478,-0.0009672594803209478,,
stop_hold_reverse,15.0,11,baseline,hold,1,2,-0.011323251243581908,-0.04778436953300691,0.0,-0.022795874556981843,-1.4414615567870034e-05,-0.14053837509815084,0.0,0.0,0.010717689334635239,0.010717689334635239,,
stop_hold_reverse,15.0,11,baseline,overall,1,2,0.004757667732419674,-0.010551622271060879,0.0,-0.002850343885306472,9.775132388351905e-05,-0.18112594073426316,0.0,0.0,-0.01588337382794691,-0.01588337382794691,0.0,
stop_hold_reverse,15.0,11,baseline,reverse,1,2,-0.004972100510142463,0.04705677327405944,0.0,0.00041559084201736596,2.925651999713917e-05,-0.22504262199766245,0.0,0.0,0.007507062863053804,0.007507062863053804,,
stop_hold_reverse,15.0,11,baseline,reverse_ramp,1,2,0.033187676792034784,0.07159958629155483,0.0,0.06898485300189527,0.00016676515639372363,-0.08441529412224719,0.0,0.0,0.0021659442132131446,0.0021659442132131446,,
stop_hold_reverse,15.0,11,baseline,stopping,1,2,0.010800995638895347,0.029829260599283813,0.0,-0.041576304937438024,-2.512938861186538e-05,-0.10601432641499889,0.0,0.0,-0.01588337382794691,-0.01588337382794691,,
stop_hold_reverse,15.0,11,friction,forward,1,2,0.004558036696628853,0.03797925969042204,0.0,0.012908129751484143,0.00032739775068395347,-0.19574575109328107,0.0,0.0,0.0004270823013730052,0.0004270823013730052,,
stop_hold_reverse,15.0,11,friction,hold,1,2,-0.01676912100660785,-0.06756149374790255,0.0,0.07353452713155981,2.7742035342910408e-05,-0.09227856782066667,0.0,0.0,0.02328776235621355,0.02328776235621355,,
stop_hold_reverse,15.0,11,friction,overall,1,2,0.00044426871631050857,-0.02801211708718654,0.0,0.01713563951820052,0.00015850905351501646,-0.18502398484561916,0.0,0.0,-0.021690358279800037,-0.021690358279800037,0.0,0.0
stop_hold_reverse,15.0,11,friction,reverse,1,2,-0.007454623203153293,-0.02059824857525072,0.0,-0.00021649685937008556,4.2291351151101976e-05,-0.2275621203095486,0.0,0.0,0.0035976724866859655,0.0035976724866859655,,
stop_hold_reverse,15.0,11,friction,reverse_ramp,1,2,0.017755523568699416,0.023466252338069538,0.0,0.09269706274655398,4.255981471322067e-05,-0.12449194583941528,0.0,0.0,0.00389850088730892,0.00389850088730892,,
