case,simulation_seed,arm,phase,sample_count,force_rmse_n,peak_force_n,contact_ratio_pct,tangent_rmse_mm,tangent_velocity_error_rms_m_s,orientation_rmse_deg,saturation_pct,paired_baseline_force_rmse_increase_n,paired_baseline_orientation_rmse_increase_deg,paired_friction_force_rmse_increase_n,paired_friction_orientation_rmse_increase_deg,failed_gates,all_gates_pass
friction_ramp_up,29,integral,pre_ramp,1250,0.1921542322254253,12.57812807926011,100.0,5.337853089177182,0.01241983022223117,0.5796567358799708,0.0,0.00816070965209148,0.06661119149722172,0.03984874350526593,0.03933432566313533,,yes
friction_ramp_up,29,integral,ramp,2000,0.05871345240839197,12.147467163197405,100.0,7.316262181686115,0.009200766858338703,0.37045006659616725,0.0,-0.00013579690647975984,0.07876202282856698,0.0016766983959559598,0.042849358258087944,,yes
friction_ramp_up,29,integral,post_ramp,2000,0.09434126356074798,12.17763685568848,100.0,10.081570074454367,0.013243405805993013,0.3295228818440137,0.0,0.010574297210017125,0.07329175461648507,0.009540992521447814,0.05803974221294628,,yes
friction_ramp_up,29,friction,pre_ramp,1250,0.15230548872015937,12.45450921953062,100.0,3.6732297783922787,0.005218632581502759,0.5403224102168355,0.0,-0.03168803385317445,0.027276865834086395,0.0,0.0,,yes
friction_ramp_up,29,friction,ramp,2000,0.05703675401243601,12.154535328749468,100.0,3.323086793434569,0.003960618367147287,0.3276007083380793,0.0,-0.0018124953024357196,0.035912664570479036,0.0,0.0,,yes
friction_ramp_up,29,friction,post_ramp,2000,0.08480027103930017,12.181246479511294,100.0,6.420979793434792,0.008183347843073369,0.2714831396310674,0.0,0.0010333046885693115,0.015252012403538795,0.0,0.0,,yes
friction_ramp_up,29,online,pre_ramp,1250,0.16070848766252532,12.551482201511284,100.0,1.6681858751815908,0.0044581222140059025,0.5337562520684332,0.0,-0.023285034910808494,0.02071070768568417,0.008402998942365958,-0.0065661581484022236,,yes
friction_ramp_up,29,online,ramp,2000,0.05647377151351217,12.15366344626761,100.0,2.356828027386599,0.0030636676785389593,0.328681275759129,0.0,-0.002375477801359563,0.03699323199152871,-0.0005629824989238433,0.0010805674210496719,,yes
friction_ramp_up,29,online,post_ramp,2000,0.0842855645719128,12.178186140496429,100.0,5.236191129557067,0.00667434093813156,0.27449958890968984,0.0,0.0005185982211819429,0.01826846168216123,-0.0005147064673873686,0.003016449278622435,,yes
stop_hold_reverse,11,baseline,forward,1500,0.18405042298810237,12.606747066028133,100.0,11.801780095865698,0.01811649927016314,0.3952674794558066,0.0,0.0,0.0,0.01322301931974565,-0.028352057779062467,,yes
